image_index,latent_distance,original_entropy_latent,counterfactual_entropy_latent,latent_entropy_reduction,original_entropy_recon,counterfactual_entropy_recon,recon_entropy_reduction,original_log_likelihood,reconstruction_log_likelihood,counterfactual_log_likelihood,log_likelihood_difference,recon_counterfactual_log_likelihood_difference,likelihood_ratio,recon_counterfactual_likelihood_ratio,original_realism_score,reconstruction_realism_score,counterfactual_realism_score,realism_score_difference,recon_counterfactual_realism_difference,original_class_latent,original_class_recon,counterfactual_class_latent,counterfactual_class_recon,original_prob_class_0,original_prob_class_1,original_prob_class_2,original_prob_class_3,original_prob_class_4,original_prob_class_5,original_prob_class_6,original_prob_class_7,original_prob_class_8,original_prob_class_9,counterfactual_prob_class_0,counterfactual_prob_class_1,counterfactual_prob_class_2,counterfactual_prob_class_3,counterfactual_prob_class_4,counterfactual_prob_class_5,counterfactual_prob_class_6,counterfactual_prob_class_7,counterfactual_prob_class_8,counterfactual_prob_class_9
0,3.883723735809326,0.2251470685005188,0.0048256549052894115,0.2203214168548584,0.45736977458000183,0.12210672348737717,0.33526304364204407,-186.41265869140625,-206.20498657226562,-207.2996826171875,20.88702392578125,1.094696044921875,1177929326.3673155,2.9882742442066488,0.9094283580780029,0.8863672614097595,0.8699132204055786,0.039515137672424316,0.016454041004180908,0,0,0,0,0.9549202,0.019709488,0.003343085,4.0815685e-06,1.852956e-09,8.205177e-10,8.225522e-05,2.18046e-06,0.021938844,2.4798134e-16,0.99949956,0.0001975285,7.1288225e-05,8.0205524e-08,3.7468677e-11,2.6709305e-11,3.894427e-06,5.0901086e-08,0.00022760188,1.2758302e-17
1,3.670532464981079,0.18622180819511414,0.004813552368432283,0.18140825629234314,0.457380086183548,0.1202569305896759,0.33712315559387207,-104.93695831298828,-116.55972290039062,-115.39164733886719,10.454689025878906,-1.1680755615234375,34706.734533485724,0.310964798434267,0.9803832173347473,0.9753144979476929,0.9752143025398254,0.005168914794921875,0.00010019540786743164,0,0,0,0,0.9636571,6.4919e-05,3.9291126e-06,5.891162e-10,1.12739e-06,0.0016820644,0.0127043305,2.4954448e-11,0.021886531,1.3062689e-09,0.99949646,3.02142e-06,2.8883827e-07,1.8100962e-11,4.8622837e-08,4.5398367e-05,0.0002028025,1.6851489e-12,0.0002520005,1.0703483e-10
2,2.6880664825439453,0.08809611201286316,0.004321686457842588,0.08377442508935928,0.656867504119873,0.678992748260498,-0.022125244140625,-109.45476531982422,-114.7518310546875,-115.92770385742188,6.472938537597656,1.175872802734375,647.3832947742394,3.240970437596286,0.9793349504470825,0.9748835563659668,0.9753363132476807,0.0039986371994018555,-0.0004527568817138672,3,7,3,7,6.675491e-17,1.6171093e-07,4.375153e-07,0.9826903,2.4770874e-05,7.19876e-06,4.4727273e-14,0.017213002,4.3948876e-05,2.0213349e-05,1.05633545e-17,2.2761508e-08,6.388178e-08,0.9995091,2.0095276e-06,1.6986029e-06,1.4075143e-14,0.000474404,9.699937e-06,2.9632356e-06
3,4.5841383934021,0.49936097860336304,0.004584422335028648,0.49477654695510864,0.6801040768623352,0.32893335819244385,0.35117071866989136,-107.12230682373047,-113.12791442871094,-112.23307037353516,5.1107635498046875,-0.8948440551757812,165.7969007467262,0.4086713238496721,0.9795005321502686,0.9767366647720337,0.9772161245346069,0.002284407615661621,-0.0004794597625732422,9,9,9,9,1.7319927e-08,1.7691765e-09,2.859049e-05,0.015425409,0.00074518844,1.9263304e-08,9.583537e-18,9.170966e-06,0.14601965,0.837772,4.980492e-10,3.2081657e-11,2.9280582e-07,0.0001148273,3.061359e-05,5.3353855e-10,6.223097e-20,2.5301762e-07,0.00034186043,0.9995121
4,4.589526653289795,0.4833248257637024,0.0045862989500164986,0.4787385165691376,1.0234712362289429,0.5311551690101624,0.4923160672187805,-89.27102661132812,-99.88153076171875,-97.30154418945312,8.030517578125,-2.579986572265625,3073.3319510788356,0.07577502150287524,0.9858077764511108,0.9823938608169556,0.9816552996635437,0.004152476787567139,0.0007385611534118652,1,1,1,1,1.407586e-10,0.8633427,2.2855552e-06,0.09554507,1.4215731e-06,0.040981777,0.00012664006,1.47947e-08,1.3373036e-08,4.4003297e-13,5.331564e-12,0.99950993,1.1153681e-07,0.00028421785,1.4647149e-07,0.00020032612,5.400007e-06,4.683203e-10,2.1127779e-10,7.469699e-15
5,6.255441188812256,1.0500257015228271,0.0054448554292321205,1.0445808172225952,1.0000208616256714,0.49017590284347534,0.509844958782196,-89.08365631103516,-102.40904235839844,-102.50428009033203,13.420623779296875,0.09523773193359375,673756.3185187968,1.0999203102289077,0.9853327870368958,0.9801780581474304,0.9804201126098633,0.004912674427032471,-0.00024205446243286133,1,7,1,1,2.397204e-11,0.6419628,0.0626882,0.015742455,0.080873474,1.2208777e-05,1.5398953e-07,0.19847931,5.584769e-06,0.00023575568,2.331178e-13,0.99944526,0.000106508145,6.847952e-05,0.00016997893,2.2707881e-07,6.149609e-09,0.00020861895,2.7104898e-08,8.485959e-07
6,0.12152552604675293,0.004575883038341999,0.003919260110706091,0.0006566229276359081,0.0029045608825981617,0.002872344572097063,3.221631050109863e-05,-102.76273345947266,-109.1480941772461,-113.46776580810547,10.705032348632812,4.319671630859375,44579.631846192,75.16394271997792,0.9812233448028564,0.9767223000526428,0.9757707118988037,0.005452632904052734,0.0009515881538391113,9,9,9,9,2.1017807e-09,2.350081e-07,8.004365e-07,0.0005091535,1.9153722e-06,1.2440532e-05,4.117355e-17,5.8453384e-09,6.65948e-07,0.99947494,1.9433823e-09,2.1160884e-07,7.188312e-07,0.00042572146,1.8079687e-06,1.1278435e-05,3.6706835e-17,5.2657505e-09,6.039154e-07,0.9995596
7,4.10190486907959,0.4050309360027313,0.004211785737425089,0.40081915259361267,0.7616012096405029,0.5001176595687866,0.2614835500717163,-99.05343627929688,-116.1710205078125,-116.97142791748047,17.917991638183594,0.8004074096679688,60490182.56517455,2.226447820108858,0.9823967218399048,0.9762766361236572,0.9752468466758728,0.007149875164031982,0.0010297894477844238,7,7,7,7,4.7087965e-06,0.00022138047,0.0076234913,1.4126194e-05,1.0252619e-09,4.6361247e-08,5.6776495e-10,0.8761177,0.1160186,1.1696447e-09,9.772995e-08,1.1597034e-05,0.000100660785,6.7270327e-07,3.951391e-11,1.5178038e-09,5.021264e-12,0.99955016,0.00033673792,4.7565153e-11
8,2.356372356414795,0.056819502264261246,0.0047587137669324875,0.05206079035997391,0.09977766871452332,0.06647129356861115,0.03330637514591217,-142.0736846923828,-155.35623168945312,-152.3040313720703,10.2303466796875,-3.0522003173828125,27732.122565314647,0.04725483428420275,0.9567010402679443,0.9448413848876953,0.9489827752113342,0.007718265056610107,-0.004141390323638916,4,4,4,4,0.00042477765,6.5208635e-13,0.006633162,3.1466805e-13,0.9913043,2.7031848e-07,0.0005941345,8.719071e-10,1.7571562e-06,0.001041676,2.9762927e-05,9.981582e-14,0.00028042292,2.2370821e-14,0.9995098,2.9527659e-08,5.5287728e-05,1.217404e-10,1.8078104e-07,0.00012451265
9,3.826524019241333,0.2670449912548065,0.004441902507096529,0.2626030743122101,0.6900124549865723,0.4899280071258545,0.20008444786071777,-127.53558349609375,-123.20026397705078,-122.11127471923828,-5.424308776855469,-1.0889892578125,0.004408112098082186,0.33655649369827834,0.9684451818466187,0.9714392423629761,0.97264164686203,-0.004196465015411377,-0.001202404499053955,0,3,0,0,0.93420637,8.733942e-16,5.295168e-06,0.0065090177,8.996398e-13,4.631594e-07,3.1224021e-09,8.113714e-11,0.058726653,0.0005520942,0.9995235,4.8178592e-17,2.8108175e-07,8.971204e-05,3.567451e-14,1.5774695e-08,2.2247773e-10,2.9966355e-12,0.00036312334,2.3324064e-05
