image_index,latent_distance,original_entropy_latent,counterfactual_entropy_latent,latent_entropy_reduction,original_entropy_recon,counterfactual_entropy_recon,recon_entropy_reduction,original_log_likelihood,reconstruction_log_likelihood,counterfactual_log_likelihood,log_likelihood_difference,recon_counterfactual_log_likelihood_difference,likelihood_ratio,recon_counterfactual_likelihood_ratio,original_realism_score,reconstruction_realism_score,counterfactual_realism_score,realism_score_difference,recon_counterfactual_realism_difference,original_class_latent,original_class_recon,counterfactual_class_latent,counterfactual_class_recon,original_prob_class_0,original_prob_class_1,original_prob_class_2,original_prob_class_3,original_prob_class_4,original_prob_class_5,original_prob_class_6,original_prob_class_7,original_prob_class_8,original_prob_class_9,counterfactual_prob_class_0,counterfactual_prob_class_1,counterfactual_prob_class_2,counterfactual_prob_class_3,counterfactual_prob_class_4,counterfactual_prob_class_5,counterfactual_prob_class_6,counterfactual_prob_class_7,counterfactual_prob_class_8,counterfactual_prob_class_9
0,4.776182651519775,0.5305212736129761,0.004766764119267464,0.5257545113563538,0.7066278457641602,0.49189358949661255,0.2147342562675476,-67.4476318359375,-73.54015350341797,-73.57111358642578,6.123481750488281,0.0309600830078125,456.4511801425897,1.0314443309094787,0.9904264807701111,0.989384114742279,0.9894189834594727,0.0010074973106384277,-3.4868717193603516e-05,7,7,7,7,6.419462e-07,0.001224524,1.5185566e-05,0.0002775839,0.06691942,6.139852e-05,2.1981195e-06,0.851871,2.239603e-05,0.079605736,1.02349045e-08,1.5762096e-05,1.7388273e-06,9.390335e-06,0.00023269636,7.633134e-07,7.2900153e-09,0.99949944,2.1548237e-07,0.00023984104
1,6.220684051513672,1.2779650688171387,0.005583701189607382,1.2723814249038696,0.9731091260910034,0.48012062907218933,0.4929884970188141,-88.86124420166016,-94.84294128417969,-92.85356140136719,3.9923171997070312,-1.9893798828125,54.18029057083262,0.1367802189165224,0.9857540130615234,0.9842989444732666,0.9843921661376953,0.001361846923828125,-9.322166442871094e-05,9,9,9,9,4.2610986e-06,0.0062819268,0.078558475,0.003943077,0.1568465,0.04334597,0.004150758,0.015075367,0.08455315,0.6072405,2.5701777e-08,1.2058059e-05,3.499776e-05,1.7114799e-05,0.00011905885,0.00014355131,4.533399e-05,5.1685867e-05,0.00011592247,0.9994603
2,5.378139495849609,0.8458456993103027,0.004349755123257637,0.841495931148529,0.5932961106300354,0.7752299904823303,-0.18193387985229492,-121.19771575927734,-125.01180267333984,-125.72526550292969,4.527549743652344,0.7134628295898438,92.53155705162722,2.041046832837825,0.9719171524047852,0.9707451462745667,0.9709191918373108,0.0009979605674743652,-0.00017404556274414062,8,9,8,9,1.9482877e-06,0.00043637,0.00040682746,0.0010064266,4.8439957e-05,0.04031483,9.746595e-06,8.521701e-06,0.5169268,0.44084,5.231617e-08,4.0338805e-06,1.579512e-05,2.4651424e-06,2.6182558e-06,8.882488e-05,1.8319861e-07,1.1182442e-07,0.999539,0.00034703643
3,4.590273380279541,0.44606807827949524,0.004943679086863995,0.44112440943717957,0.6886178255081177,0.5371088981628418,0.15150892734527588,-86.30929565429688,-82.50747680664062,-83.43601989746094,-2.8732757568359375,0.9285430908203125,0.056513498557880466,2.530819316479933,0.9861745834350586,0.9874953627586365,0.9873387813568115,-0.0011641979217529297,0.00015658140182495117,9,9,9,9,2.4424731e-05,1.0734166e-05,0.00025177802,0.016791806,0.0019300634,0.022115279,2.5806235e-06,0.06349155,0.0005482452,0.8948335,8.3004403e-07,1.1293103e-07,6.10348e-07,7.604689e-05,2.765385e-05,0.0001526248,2.0211853e-07,0.0002264198,1.4938349e-05,0.9995005
4,5.513261795043945,1.0602002143859863,0.005113215185701847,1.0550869703292847,1.153491735458374,0.8976265788078308,0.2558651566505432,-101.7377700805664,-99.73831176757812,-102.11406707763672,0.3762969970703125,2.3757553100585938,1.456879758543846,10.759136601938533,0.9824246764183044,0.9811351299285889,0.9817540049552917,0.0006706714630126953,-0.0006188750267028809,2,2,2,2,0.020070346,0.009490506,0.6293218,0.23864707,0.0023041628,0.07906613,0.018616775,0.0023776449,7.423188e-05,3.1317817e-05,8.24995e-05,5.497602e-05,0.99949694,0.00024052853,2.9565275e-05,3.738656e-05,1.3741292e-05,4.371261e-05,5.9647283e-07,2.5819416e-08
5,5.700101375579834,1.0418463945388794,0.0051327841356396675,1.0367136001586914,1.1199684143066406,0.8275144696235657,0.29245394468307495,-111.66244506835938,-110.00389099121094,-109.35748291015625,-2.304962158203125,-0.6464080810546875,0.09976257577731776,0.5239242945990893,0.9771893620491028,0.9782971143722534,0.9784722328186035,-0.0012828707695007324,-0.00017511844635009766,9,9,9,9,5.7387355e-05,0.00014511422,0.00013103215,0.005748667,0.15586233,0.0011301512,1.39796675e-05,0.19538389,0.025692375,0.61583513,6.4389087e-07,4.869117e-07,1.1039505e-07,5.5122255e-05,0.00011098277,3.7132268e-05,7.2503553e-07,0.00020142586,0.000103576436,0.9994898
6,4.45576286315918,0.5938381552696228,0.004603209905326366,0.5892349481582642,0.48996996879577637,0.24040086567401886,0.2495691031217575,-103.70121765136719,-108.7325210571289,-111.66614532470703,7.964927673339844,2.933624267578125,2878.220998283369,18.795627586090152,0.9793720841407776,0.9769326448440552,0.9775634407997131,0.0018086433410644531,-0.000630795955657959,7,7,7,7,6.012529e-06,7.7725036e-07,0.0054741264,0.19301112,2.8897045e-07,0.0005511591,2.9238104e-10,0.78845435,0.00030100404,0.012201253,3.6188052e-07,4.35083e-08,0.00012409495,0.00021523553,5.096891e-08,1.144582e-06,2.6304237e-12,0.99953043,6.106973e-06,0.000122605
7,4.728795528411865,0.4522175192832947,0.005259956233203411,0.4469575583934784,0.5075278878211975,0.20163647830486298,0.30589139461517334,-99.6551513671875,-103.6667709350586,-99.51713562011719,-0.1380157470703125,-4.149635314941406,0.8710849746014531,0.015770166580427212,0.9821859002113342,0.9807697534561157,0.9810959696769714,0.001089930534362793,-0.0003262162208557129,0,0,0,0,0.8888925,1.7971663e-05,0.0009089449,0.00071467634,0.00014104554,0.020815903,0.07661311,1.8276345e-05,0.010499418,0.0013781554,0.9994665,1.0146335e-06,4.0573283e-05,3.02324e-06,1.2419646e-05,4.9537743e-05,0.00030820747,1.7576461e-06,9.4579205e-05,2.2527454e-05
8,5.90116548538208,1.0674834251403809,0.005205536261200905,1.062277913093567,0.8648201823234558,0.49378806352615356,0.37103211879730225,-135.16038513183594,-139.9902801513672,-138.58929443359375,3.4289093017578125,-1.4009857177734375,30.842984008806834,0.24635400869369856,0.9652875065803528,0.9620665907859802,0.9627002477645874,0.002587258815765381,-0.0006336569786071777,9,9,9,9,0.0012777582,0.107175626,8.773494e-05,0.0024207039,0.005208162,0.002557307,2.6300407e-07,0.28323874,0.022790866,0.57524276,9.9786685e-06,9.728693e-05,5.4660447e-08,2.3512655e-05,8.824487e-06,5.0558658e-05,1.0480913e-08,0.00022161659,0.000104332445,0.9994838
9,5.177475452423096,0.9197672605514526,0.0050657689571380615,0.9147014617919922,1.0975477695465088,0.9420586824417114,0.15548908710479736,-72.27432250976562,-75.19346618652344,-74.15605926513672,1.8817367553710938,-1.0374069213867188,6.564896586415742,0.3543724070877978,0.9897541403770447,0.989051103591919,0.9889799356460571,0.0007742047309875488,7.11679458618164e-05,3,3,3,3,0.0024252473,0.03151008,0.20265906,0.7097908,0.001130066,0.00326886,0.0012673127,0.014976301,0.00883843,0.02413386,1.7987496e-06,2.68113e-05,0.00023744085,0.99949527,5.396269e-07,0.00010310277,3.474635e-06,2.375551e-05,1.1902152e-05,9.595363e-05
10,6.548710346221924,1.4112989902496338,0.005502981599420309,1.4057960510253906,1.5470185279846191,1.1438820362091064,0.4031364917755127,-103.56517791748047,-108.14682006835938,-104.70673370361328,1.1415557861328125,-3.4400863647460938,3.131636734137703,0.032061916189033556,0.9810813069343567,0.9788702726364136,0.9801203608512878,0.0009609460830688477,-0.0012500882148742676,9,9,9,9,7.56712e-06,0.0004795929,0.06185012,0.11834108,0.04799965,0.056335855,2.4159655e-05,0.01076629,0.16138041,0.5428153,6.803211e-08,1.6751883e-06,1.813636e-05,0.00012049151,8.193473e-05,0.00011245062,4.7209232e-07,4.2617503e-05,0.00016330885,0.99945885
11,5.3900933265686035,0.8574659824371338,0.0046816980466246605,0.852784276008606,0.7562480568885803,0.49623578786849976,0.26001226902008057,-100.64454650878906,-100.271240234375,-101.58824157714844,0.943695068359375,1.3170013427734375,2.5694582226058924,3.73221295320556,0.9824180006980896,0.9825507998466492,0.9814324975013733,0.0009855031967163086,0.001118302345275879,2,2,2,2,0.0020700167,0.011390154,0.5759795,0.020746246,0.00050773536,0.00035760013,0.0033871548,5.6229294e-07,0.3853063,0.00025472557,1.26828645e-05,8.575745e-05,0.99952364,0.000121097226,4.6975633e-06,5.209529e-07,2.6876098e-06,1.8693722e-08,0.00024851496,3.068072e-07
12,5.887840270996094,1.1097066402435303,0.004988871980458498,1.10471773147583,1.1294379234313965,0.9954260587692261,0.1340118646621704,-77.41145324707031,-81.16593933105469,-82.97709655761719,5.565643310546875,1.8111572265625,261.29324235209,6.1175226973607355,0.9883803129196167,0.987654983997345,0.986893892288208,0.0014864206314086914,0.0007610917091369629,9,9,9,9,0.000787588,0.00016463557,0.0004759247,0.0010251905,0.28036705,0.001255662,3.0981286e-05,0.26152563,0.002893517,0.4514738,9.561518e-06,4.734159e-07,5.529274e-07,1.9623734e-05,0.00014596235,6.256772e-05,2.1845212e-06,0.00022879094,2.9775023e-05,0.9995005
13,5.9801154136657715,0.8898957967758179,0.005206436850130558,0.8846893310546875,0.9571055173873901,0.8004052042961121,0.15670031309127808,-94.57291412353516,-97.80548858642578,-99.20881652832031,4.635902404785156,1.4033279418945312,103.12093284364293,4.068717917706377,0.9838359951972961,0.9826247096061707,0.9822742342948914,0.0015617609024047852,0.0003504753112792969,5,3,5,5,3.194864e-05,0.0001462928,0.00014639832,0.34516966,0.0039466657,0.59970707,5.440164e-05,0.0012488987,0.029152606,0.020396046,1.2998518e-07,5.3123983e-07,1.4294173e-07,0.00038763028,2.9240912e-06,0.9994444,8.842188e-07,1.4146765e-06,8.909058e-05,7.2906296e-05
14,4.761476516723633,0.650195300579071,0.004344790708273649,0.6458505392074585,0.7009861469268799,0.5415463447570801,0.1594398021697998,-125.28845977783203,-124.82379150390625,-124.46456146240234,-0.8238983154296875,-0.35923004150390625,0.43871805523686197,0.6982137147427511,0.9704098701477051,0.9719993472099304,0.9710841178894043,-0.0006742477416992188,0.000915229320526123,9,9,9,9,0.0027347058,1.6918916e-08,1.100397e-05,0.00041096177,0.00014012144,7.2150004e-05,1.4263061e-08,0.31970719,6.590125e-06,0.67691725,5.6411198e-05,2.1515018e-10,3.7234976e-08,1.6968934e-05,1.3013902e-06,1.0321431e-05,2.4367404e-09,0.00038082738,3.4663364e-07,0.99953365
15,5.399179935455322,0.6691077351570129,0.00572464894503355,0.6633830666542053,0.6365677118301392,0.29546600580215454,0.3411017060279846,-118.18163299560547,-116.65111541748047,-117.17658996582031,-1.0050430297851562,0.5254745483398438,0.36602888432089453,1.691261243191669,0.9732592105865479,0.974796712398529,0.9746675491333008,-0.0014083385467529297,0.00012916326522827148,0,0,0,0,0.8371676,0.0005117822,0.08128611,0.0019772062,6.375543e-05,0.039858703,0.02251146,0.0035636874,0.0074766213,0.005583124,0.99943334,8.336799e-06,0.00018203104,1.3534831e-06,2.0844025e-06,4.455374e-05,0.000195004,4.111307e-05,4.609507e-05,4.605737e-05
16,5.963815212249756,1.2492237091064453,0.004842130467295647,1.2443815469741821,1.2514164447784424,0.7291610240936279,0.5222554206848145,-104.25054931640625,-105.40044403076172,-105.32223510742188,1.071685791015625,-0.07820892333984375,2.920298365469916,0.9247712000717719,0.9806679487228394,0.980313241481781,0.9799599647521973,0.0007079839706420898,0.00035327672958374023,6,6,6,6,4.8967e-05,0.0009348868,0.13988969,0.006056189,0.0036101937,0.3318186,0.45872462,0.000666259,0.05103446,0.007216083,1.8811437e-06,7.1760833e-06,6.608513e-05,3.5333928e-06,1.7950895e-05,0.00021128333,0.9995208,5.923742e-07,0.00012487671,4.5823574e-05
17,4.379439830780029,0.4590403437614441,0.0047837127931416035,0.4542566239833832,0.7649208307266235,0.5822720527648926,0.18264877796173096,-102.43909454345703,-105.89078521728516,-104.78042602539062,2.3413314819335938,-1.1103591918945312,10.395068197906213,0.3294406074247092,0.9808790683746338,0.9798444509506226,0.9798540472984314,0.0010250210762023926,-9.59634780883789e-06,8,8,8,8,0.0030688182,8.4205545e-05,0.074986145,0.002232632,0.01631253,0.0030728627,0.0005182272,8.811017e-05,0.8911965,0.008439886,3.7595903e-05,2.440882e-07,0.00018070248,9.083644e-06,9.109231e-05,3.9556566e-05,1.560778e-05,4.2516461e-07,0.9995352,9.0420246e-05
18,5.882499694824219,1.000003695487976,0.005294205620884895,0.9947094917297363,0.7925431728363037,0.6246813535690308,0.16786181926727295,-104.20972442626953,-106.9698486328125,-109.67948150634766,5.469757080078125,2.7096328735351562,237.40251595539905,15.02375888279924,0.9785184860229492,0.9766553640365601,0.9782180190086365,0.00030046701431274414,-0.001562654972076416,5,5,5,5,0.010552385,1.323835e-05,0.028624196,0.08509823,0.00048398273,0.6317719,0.24314821,0.00016092368,3.2194097e-05,0.00011477939,1.0975083e-05,2.1135271e-08,2.64084e-05,0.0002956096,2.4177706e-07,0.9994382,0.00022751911,2.3912142e-07,1.326203e-07,5.7814736e-07
19,4.344122886657715,0.6081829071044922,0.004356983583420515,0.6038259267807007,0.5963895916938782,0.2751163840293884,0.32127320766448975,-97.51725769042969,-100.59429168701172,-102.14320373535156,4.625946044921875,1.5489120483398438,102.09931794888129,4.706347118112388,0.9835705757141113,0.9814352989196777,0.9811781644821167,0.002392411231994629,0.00025713443756103516,6,6,6,6,9.713579e-06,0.00012887469,0.006177217,0.00045683773,0.17416815,0.016957643,0.79880905,4.5081507e-07,0.0032601831,3.1881387e-05,4.1469482e-07,9.580093e-07,1.6330196e-05,2.8870618e-06,0.00021803081,0.00016309519,0.9995573,1.3873075e-09,4.0188967e-05,7.680317e-07
