image_index,latent_distance,original_entropy_latent,counterfactual_entropy_latent,latent_entropy_reduction,original_entropy_recon,counterfactual_entropy_recon,recon_entropy_reduction,original_log_likelihood,reconstruction_log_likelihood,counterfactual_log_likelihood,log_likelihood_difference,recon_counterfactual_log_likelihood_difference,likelihood_ratio,recon_counterfactual_likelihood_ratio,original_realism_score,reconstruction_realism_score,counterfactual_realism_score,realism_score_difference,recon_counterfactual_realism_difference,original_class_latent,original_class_recon,counterfactual_class_latent,counterfactual_class_recon,original_prob_class_0,original_prob_class_1,original_prob_class_2,original_prob_class_3,original_prob_class_4,original_prob_class_5,original_prob_class_6,original_prob_class_7,original_prob_class_8,original_prob_class_9,counterfactual_prob_class_0,counterfactual_prob_class_1,counterfactual_prob_class_2,counterfactual_prob_class_3,counterfactual_prob_class_4,counterfactual_prob_class_5,counterfactual_prob_class_6,counterfactual_prob_class_7,counterfactual_prob_class_8,counterfactual_prob_class_9
0,32.81694793701172,1.804208755493164,0.12002566456794739,1.684183120727539,1.7080235481262207,0.628625750541687,1.0793977975845337,-182.54177856445312,-193.22210693359375,-170.48851013183594,-12.053268432617188,-22.733596801757812,5.825484228465936e-06,1.3394433646995982e-10,0.916438639163971,0.904532790184021,0.934929609298706,-0.018490970134735107,-0.03039681911468506,3,8,8,8,0.08419142,0.17104353,0.029258018,0.2924159,0.03384026,0.01798135,0.00018523721,0.07823365,0.2686437,0.024206864,0.010248739,0.008391712,0.0006654172,0.00096362364,3.7732475e-06,0.00012239421,1.4682561e-09,1.6417623e-06,0.9795994,3.2616133e-06
1,30.072603225708008,1.8367161750793457,0.05340325087308884,1.7833129167556763,1.7779608964920044,0.1658778190612793,1.612083077430725,-104.98502349853516,-112.41411590576172,-118.9522705078125,13.967247009277344,6.538154602050781,1163853.4639569414,691.0102118690868,0.9800485372543335,0.9772318601608276,0.9722483158111572,0.0078002214431762695,0.00498354434967041,5,5,5,5,0.016904859,0.043505184,0.22392316,0.06088221,0.23601022,0.26520842,0.00228936,0.013375018,0.09121103,0.0466905,2.216069e-07,5.6079086e-10,1.5803328e-06,6.372049e-08,0.009003707,0.9907827,4.3545904e-07,8.631137e-09,0.00021127719,1.3436861e-11
2,26.32443618774414,1.6651002168655396,0.00011235193960601464,1.6649879217147827,1.5358742475509644,0.42549294233322144,1.1103813648223877,-107.49220275878906,-110.44973754882812,-114.75187683105469,7.259674072265625,4.3021392822265625,1421.7930598844687,73.8576271232836,0.9802892804145813,0.9775702953338623,0.9772920608520508,0.0029972195625305176,0.00027823448181152344,7,7,7,7,1.1247755e-06,0.014541805,0.07027989,0.03449568,0.16940986,0.010399067,0.019831926,0.43673438,0.1310985,0.11320769,2.7766023e-10,1.7289087e-08,6.268405e-06,5.7764712e-08,1.5778835e-06,4.3301673e-10,7.1328555e-13,0.9999916,6.0253875e-08,3.703554e-07
3,33.69282150268555,1.5783660411834717,0.009145570918917656,1.5692204236984253,1.5414836406707764,0.38232535123825073,1.1591582298278809,-106.57942962646484,-113.50804138183594,-123.23036193847656,16.65093231201172,9.722320556640625,17037584.455519248,16685.92046100778,0.9796577095985413,0.9772054553031921,0.9709581136703491,0.008699595928192139,0.006247341632843018,2,2,2,2,0.020633055,7.825356e-05,0.35466406,0.255768,1.9061594e-05,0.0100762565,0.009730111,0.17401208,0.14497255,0.030046528,2.0900526e-07,8.0698656e-11,0.99889374,0.0009162711,1.0522419e-13,2.9132351e-15,4.2036317e-09,1.8120206e-08,0.00018984005,1.3542792e-12
4,22.806344985961914,1.2423944473266602,0.030243299901485443,1.2121511697769165,1.1089588403701782,0.28776031732559204,0.8211985230445862,-86.15724182128906,-92.90069580078125,-104.23995971679688,18.082717895507812,11.339263916015625,71322178.47047609,84058.13451549485,0.9868903160095215,0.9849181771278381,0.9795698523521423,0.00732046365737915,0.005348324775695801,6,6,6,6,0.004219622,0.028087113,0.058197454,0.021430442,0.00012961651,0.21570976,0.6075938,0.010743755,0.0404572,0.013431262,9.480803e-08,2.005626e-06,0.00010734146,4.3079367e-06,1.4908068e-10,1.7788335e-06,0.99534726,6.32284e-12,4.435102e-06,0.004532844
5,28.169710159301758,1.8465813398361206,0.05827828496694565,1.788303017616272,1.7125941514968872,0.5745282769203186,1.1380658149719238,-89.14291381835938,-90.25631713867188,-103.9752426147461,14.832328796386719,13.718925476074219,2764385.141907819,907932.645687889,0.9862208366394043,0.9841336011886597,0.9809680581092834,0.00525277853012085,0.0031655430793762207,9,9,9,9,6.562814e-06,0.14230907,0.05137164,2.3484508e-05,0.041699756,0.18057333,0.05927664,0.14135079,0.058118302,0.32527038,4.1934557e-11,0.00064727344,1.3408885e-07,1.3869019e-08,0.009016956,1.052111e-07,3.2900022e-08,0.00014723411,2.9303798e-08,0.9901881
6,27.98170280456543,1.2418327331542969,0.0007690208731219172,1.2410637140274048,1.365217685699463,0.23809638619422913,1.1271213293075562,-102.68905639648438,-107.12799835205078,-98.31519317626953,-4.373863220214844,-8.81280517578125,0.012602460324779255,0.0001488152170338961,0.9814349412918091,0.9794600605964661,0.9829519391059875,-0.0015169978141784668,-0.0034918785095214844,3,3,3,3,0.020895492,0.00062995724,0.08186004,0.6140624,0.00022782435,0.13288705,2.3217988e-05,0.053493533,0.09590204,1.8393397e-05,2.8400314e-06,4.472296e-12,6.7758854e-05,0.99992865,8.3590565e-11,5.2462445e-07,1.5421547e-15,1.5483329e-07,5.579069e-08,9.89873e-11
7,30.065584182739258,1.8029756546020508,0.014340720139443874,1.7886348962783813,1.734231948852539,0.7072254419326782,1.0270065069198608,-96.57323455810547,-104.65433502197266,-106.9468765258789,10.373641967773438,2.29254150390625,32004.82551553129,9.900066793205806,0.9825748801231384,0.9815126657485962,0.9774764180183411,0.005098462104797363,0.004036247730255127,8,8,8,8,0.031837303,0.045702007,0.11437151,0.22461312,0.006421617,0.21303083,4.528125e-09,0.009131825,0.26897532,0.08591645,2.6048738e-06,1.3700921e-07,0.00033662072,0.000119273886,6.7883335e-09,0.0004082655,3.49465e-13,1.1384849e-08,0.99833596,0.0007970773
8,30.2457275390625,1.2200812101364136,0.0007929315324872732,1.2192882299423218,1.2749773263931274,0.16844433546066284,1.1065330505371094,-145.64144897460938,-145.67372131347656,-175.80348205566406,30.162033081054688,30.1297607421875,12566216277114.078,12167149137352.455,0.9535514712333679,0.9576172232627869,0.9212760329246521,0.03227543830871582,0.036341190338134766,2,2,2,2,0.31447273,4.6439625e-14,0.4260442,2.822627e-06,0.010098287,0.014012091,0.22543022,0.008532669,0.00037094144,0.0010360046,7.409262e-05,4.297698e-12,0.9999249,6.0853705e-10,8.778096e-11,7.0166397e-15,2.4449984e-10,9.122409e-07,2.3412863e-10,2.7906452e-08
9,31.763324737548828,1.776816964149475,0.14119449257850647,1.635622501373291,1.8029117584228516,0.46398746967315674,1.3389242887496948,-128.5999298095703,-125.98711395263672,-133.8458709716797,5.245941162109375,7.858757019042969,189.79435845603254,2588.301166058612,0.970772385597229,0.9685578942298889,0.9651104807853699,0.005661904811859131,0.003447413444519043,6,3,3,3,0.10476568,0.009984531,0.06945276,0.29953218,0.00046783543,0.08847864,0.30824938,0.024395095,0.07080389,0.023869988,0.008582414,3.6434264e-10,1.280269e-07,0.9757138,4.8234967e-09,0.0069818203,5.8044945e-05,3.943218e-10,0.008663803,2.5088123e-10
