image_index,latent_distance,original_entropy_latent,counterfactual_entropy_latent,latent_entropy_reduction,original_entropy_recon,counterfactual_entropy_recon,recon_entropy_reduction,original_log_likelihood,reconstruction_log_likelihood,counterfactual_log_likelihood,log_likelihood_difference,recon_counterfactual_log_likelihood_difference,likelihood_ratio,recon_counterfactual_likelihood_ratio,original_realism_score,reconstruction_realism_score,counterfactual_realism_score,realism_score_difference,recon_counterfactual_realism_difference,original_class_latent,original_class_recon,counterfactual_class_latent,counterfactual_class_recon,original_prob_class_0,original_prob_class_1,original_prob_class_2,original_prob_class_3,original_prob_class_4,original_prob_class_5,original_prob_class_6,original_prob_class_7,original_prob_class_8,original_prob_class_9,counterfactual_prob_class_0,counterfactual_prob_class_1,counterfactual_prob_class_2,counterfactual_prob_class_3,counterfactual_prob_class_4,counterfactual_prob_class_5,counterfactual_prob_class_6,counterfactual_prob_class_7,counterfactual_prob_class_8,counterfactual_prob_class_9
0,29.753786087036133,1.6424906253814697,0.00045971290091983974,1.642030954360962,1.3006536960601807,0.12157918512821198,1.1790745258331299,-185.0106964111328,-208.46585083007812,-181.56980895996094,-3.440887451171875,-26.896041870117188,0.03203624210814184,2.085438710467495e-12,0.9080278277397156,0.8584799766540527,0.9191639423370361,-0.011136114597320557,-0.0606839656829834,0,0,0,0,0.41628474,0.1202833,0.11881239,0.06379774,0.005393393,1.1960351e-07,0.035883542,0.037752636,0.2017921,1.0975767e-10,0.9999587,3.6778857e-08,4.0901723e-05,7.206534e-11,4.5301034e-11,6.9770486e-13,3.4191858e-09,2.182548e-08,2.668671e-07,2.6488012e-15
1,23.611093521118164,1.597269058227539,0.009569302201271057,1.5876997709274292,1.611355185508728,0.08984466642141342,1.5215104818344116,-105.34981536865234,-114.86255645751953,-120.31409454345703,14.964279174804688,5.4515380859375,3154306.357534586,233.1164434296604,0.9812094569206238,0.9754582047462463,0.9740090370178223,0.007200419902801514,0.0014491677284240723,0,0,0,0,0.43315104,0.1597631,0.025357667,6.049988e-07,0.040528324,0.054245498,0.09377256,2.080219e-05,0.18879016,0.004370196,0.9988268,4.7638077e-06,0.00011148681,1.652603e-11,2.010679e-06,2.6011924e-06,0.0010439846,7.505207e-10,8.284129e-06,1.5608595e-08
2,23.843137741088867,1.5850303173065186,0.06483587622642517,1.520194411277771,1.6451563835144043,1.809086561203003,-0.16393017768859863,-109.90266418457031,-115.8947982788086,-122.72222900390625,12.819564819335938,6.827430725097656,369373.9480929488,922.8167940036624,0.9795210957527161,0.9754042029380798,0.9704674482345581,0.009053647518157959,0.0049367547035217285,3,7,3,3,1.0886604e-10,0.03189289,0.066030174,0.45743796,0.030564947,0.04091074,8.319638e-07,0.23681416,0.046873856,0.08947448,1.252877e-17,1.012598e-06,0.0010840667,0.9900979,0.002579056,9.6432174e-08,3.39792e-05,5.4365275e-05,0.006149445,1.0484964e-07
3,29.4363956451416,1.5168380737304688,0.00014635045954491943,1.5166916847229004,1.4736374616622925,0.837568461894989,0.6360689997673035,-107.9427261352539,-112.08682250976562,-122.53226470947266,14.58953857421875,10.445442199707031,2168483.3719215975,34387.2866081437,0.9790838360786438,0.9767770171165466,0.9723078012466431,0.006776034832000732,0.0044692158699035645,9,9,9,9,0.019038869,0.00022550712,0.13767765,0.18208356,0.0008076311,0.022890413,5.9138434e-05,0.00993209,0.25908935,0.36819574,3.2018725e-09,1.2762464e-11,8.9323515e-07,6.8049225e-08,1.1784939e-06,9.0482295e-11,5.232855e-13,6.053332e-07,8.279134e-06,0.9999889
4,26.748523712158203,1.6033536195755005,0.00027915555983781815,1.6030744314193726,1.6366968154907227,1.0577330589294434,0.5789637565612793,-81.49922180175781,-101.5263671875,-105.47582244873047,23.976600646972656,3.9494552612304688,25876489367.515846,51.907083331266556,0.985615611076355,0.9820024967193604,0.9797772765159607,0.005838334560394287,0.002225220203399658,5,5,5,5,2.4234922e-07,0.259613,0.045656186,0.15382443,0.042985845,0.2773438,0.22057623,1.4920916e-07,9.094695e-08,1.2888755e-10,7.986873e-12,1.1901995e-05,1.6842555e-10,7.508556e-07,1.5555913e-09,0.9999777,9.635023e-06,2.871493e-12,6.8502896e-15,1.099039e-13
5,22.12859344482422,1.662158489227295,0.003253844566643238,1.6589046716690063,1.4917619228363037,0.32552313804626465,1.166238784790039,-90.03099822998047,-107.34803771972656,-97.91802978515625,7.887031555175781,-9.430007934570312,2662.528609137147,8.027856295797832e-05,0.9854912757873535,0.9796379208564758,0.9838565587997437,0.0016347169876098633,-0.004218637943267822,1,1,1,1,1.9669256e-08,0.32717058,0.11166044,0.1360551,0.20022489,0.023478402,0.00046559863,0.18937406,4.0680447e-06,0.011566776,2.2133373e-13,0.9996914,0.00013184613,3.2529497e-05,5.8777e-05,4.916664e-05,5.47715e-08,3.610989e-05,7.948112e-11,3.8726338e-08
6,24.757410049438477,1.3754971027374268,0.021532602608203888,1.3539644479751587,1.3636105060577393,1.2690987586975098,0.09451174736022949,-103.32501220703125,-114.46525573730469,-125.43217468261719,22.107162475585938,10.9669189453125,3990420599.0404468,57925.84548016095,0.9809432625770569,0.976303219795227,0.9704877734184265,0.010455489158630371,0.005815446376800537,3,9,9,9,0.032624677,0.022323953,0.014859167,0.39510992,0.004524856,0.14631893,2.1693976e-10,6.285443e-05,0.019030055,0.36514547,2.1915834e-09,4.0934287e-09,7.277283e-12,0.0031523246,3.3627392e-09,1.4461384e-07,6.3114534e-18,3.8106173e-14,1.9089335e-05,0.99682844
7,21.696557998657227,1.4500634670257568,0.06628923118114471,1.3837742805480957,1.5142548084259033,1.0130057334899902,0.5012490749359131,-98.5819091796875,-114.70585632324219,-118.66226196289062,20.080352783203125,3.9564056396484375,525758627.9732091,52.26911387020828,0.981715738773346,0.9753462672233582,0.9755938649177551,0.00612187385559082,-0.00024759769439697266,8,8,8,8,0.021388907,0.061493844,0.2648519,0.022317572,7.52271e-07,0.008015779,3.1815715e-09,0.26581618,0.35600337,0.00011166236,8.1751196e-08,1.1582953e-08,0.0044329185,3.824299e-09,1.2479339e-12,1.2720723e-10,2.7102775e-12,0.0062344745,0.9893325,3.669717e-10
8,32.59895706176758,1.5613911151885986,0.0031165573745965958,1.558274507522583,1.5334625244140625,1.192655086517334,0.3408074378967285,-146.4163055419922,-157.84329223632812,-149.8983917236328,3.482086181640625,-7.9449005126953125,32.52750963611493,0.00035446515411342394,0.9604411125183105,0.9443067312240601,0.9544315934181213,0.006009519100189209,-0.01012486219406128,2,2,2,2,0.18536754,5.4739285e-08,0.31056362,8.0625285e-13,0.30678952,0.020763796,0.09946085,3.4469934e-08,0.0040218593,0.07303274,8.465508e-06,1.3875133e-13,0.9996827,1.3295116e-10,0.00019225584,4.660746e-13,0.00011651091,1.4381775e-13,1.1711418e-10,4.2157646e-09
9,29.86772918701172,1.4970366954803467,0.02639857679605484,1.4706381559371948,1.4313462972640991,0.7403042316436768,0.6910420656204224,-126.0594482421875,-123.17058563232422,-127.08170318603516,1.0222549438476562,3.9111175537109375,2.779455218269363,49.954747904025204,0.9682415127754211,0.9726848006248474,0.9698899388313293,-0.0016484260559082031,0.0027948617935180664,0,0,0,0,0.41552985,4.235032e-12,0.059253942,0.1544829,3.4352237e-08,0.0019408002,0.030732939,0.0010501969,0.2582351,0.07877419,0.99608153,2.3879823e-16,1.3933042e-07,4.2953623e-08,4.6610123e-19,0.00019193949,2.7228003e-07,7.7872204e-14,0.0037261355,4.6979456e-09
