original_class,target_class,original_target_class_prob,counterfactual_class,counterfactual_target_class_prob,target_class_prob_difference,original_log_likelihood,counterfactual_log_likelihood,log_likelihood_difference
2,5,4.288829e-28,2,4.298607e-28,9.777946e-31,-90.39580535888672,-100.12236022949219,9.726554870605469
1,6,6.994432e-10,6,0.97780526,0.97780526,-56.05758285522461,-104.46268463134766,48.40510177612305
2,4,8.718475e-13,2,0.006001786,0.006001786,-105.59728240966797,-132.06687927246094,26.46959686279297
4,1,3.5609318e-17,4,3.430058e-17,-1.3087387e-18,-100.43635559082031,-102.46620178222656,2.02984619140625
6,0,9.866054e-16,6,0.00024865597,0.00024865597,-95.71131896972656,-138.15750122070312,42.44618225097656
6,3,6.6672147e-21,6,6.3591594e-21,-3.080553e-22,-105.37037658691406,-114.0720443725586,8.701667785644531
4,5,5.725874e-22,4,5.931864e-22,2.0598988e-23,-93.8544692993164,-98.89888763427734,5.0444183349609375
9,1,5.24862e-25,9,5.2820627e-25,3.3442772e-27,-84.68292999267578,-94.17450714111328,9.4915771484375
1,4,5.954401e-10,4,0.99989676,0.99989676,-44.561561584472656,-99.36983489990234,54.80827331542969
1,2,4.513065e-08,1,0.40084344,0.40084338,-47.61552047729492,-93.35277557373047,45.73725509643555
2,7,3.5104725e-11,2,7.777906e-05,7.777903e-05,-83.31185150146484,-92.15277862548828,8.840927124023438
8,4,7.812486e-11,4,0.9543974,0.9543974,-88.60895538330078,-122.94649505615234,34.33753967285156
9,7,4.352324e-09,9,0.00073525874,0.0007352544,-85.88705444335938,-104.95418548583984,19.06713104248047
0,6,1.5076468e-13,0,1.0129598e-07,1.0129583e-07,-91.77718353271484,-121.18684387207031,29.40966033935547
1,3,5.7794535e-13,3,0.9997358,0.9997358,-42.87730026245117,-126.30833435058594,83.43103408813477
2,6,7.412885e-15,2,4.4473514e-10,4.4472773e-10,-119.52005004882812,-125.03128814697266,5.511238098144531
8,5,1.0089583e-07,8,0.0009538457,0.0009537448,-111.06126403808594,-115.22187042236328,4.160606384277344
