image_index,latent_distance,original_entropy_latent,counterfactual_entropy_latent,latent_entropy_reduction,original_entropy_recon,counterfactual_entropy_recon,recon_entropy_reduction,original_log_likelihood,reconstruction_log_likelihood,counterfactual_log_likelihood,log_likelihood_difference,recon_counterfactual_log_likelihood_difference,likelihood_ratio,recon_counterfactual_likelihood_ratio,original_realism_score,reconstruction_realism_score,counterfactual_realism_score,realism_score_difference,recon_counterfactual_realism_difference,original_class_latent,original_class_recon,counterfactual_class_latent,counterfactual_class_recon,original_prob_class_0,original_prob_class_1,original_prob_class_2,original_prob_class_3,original_prob_class_4,original_prob_class_5,original_prob_class_6,original_prob_class_7,original_prob_class_8,original_prob_class_9,counterfactual_prob_class_0,counterfactual_prob_class_1,counterfactual_prob_class_2,counterfactual_prob_class_3,counterfactual_prob_class_4,counterfactual_prob_class_5,counterfactual_prob_class_6,counterfactual_prob_class_7,counterfactual_prob_class_8,counterfactual_prob_class_9
0,5.486442565917969,0.9122003316879272,0.004850433673709631,0.9073498845100403,0.9134675860404968,0.4480244219303131,0.4654431641101837,-184.02755737304688,-191.9988250732422,-188.05465698242188,4.027099609375,-3.9441680908203125,56.097969039844,0.01936732152229698,0.9057636857032776,0.8974317908287048,0.8995079398155212,0.006255745887756348,-0.0020761489868164062,8,8,8,8,0.26605052,0.0009815017,0.007344462,0.029552778,0.00043696223,1.5002946e-05,1.2397402e-05,0.037719376,0.65645903,0.0014280037,0.00030990224,1.7242094e-06,2.560466e-05,7.4575546e-05,3.0571423e-06,1.6348253e-07,1.493216e-07,7.096273e-05,0.9995028,1.0997503e-05
1,5.723033428192139,1.152268409729004,0.004942330531775951,1.147326111793518,1.2651875019073486,0.957807183265686,0.3073803186416626,-105.75662994384766,-112.21009826660156,-114.15401458740234,8.397384643554688,1.9439163208007812,4435.4512789349765,6.986057106704567,0.9802367091178894,0.9778162240982056,0.9772725105285645,0.002964198589324951,0.0005437135696411133,2,2,2,2,0.004024491,0.0007733458,0.56552356,0.0002746699,0.14615126,0.03677686,0.00092797476,0.010817934,0.23451082,0.00021903984,1.3486682e-05,5.185165e-06,0.99951303,4.876096e-06,0.00014511489,6.6434186e-05,8.608315e-07,9.342563e-05,0.00015739878,1.7837938e-07
2,7.10299015045166,1.685223937034607,0.0045733219012618065,1.6806505918502808,1.7076935768127441,1.5173321962356567,0.1903613805770874,-108.55986022949219,-110.80219268798828,-108.4808120727539,-0.07904815673828125,-2.321380615234375,0.923995426767724,0.09813800121141515,0.9784966707229614,0.9797285199165344,0.9798628687858582,-0.0013661980628967285,-0.00013434886932373047,7,7,4,4,1.6536161e-07,0.023138814,0.021225408,0.023700766,0.24032344,0.024558514,3.5285622e-05,0.2660214,0.17571719,0.22527896,3.9103143e-10,8.766771e-05,1.1079821e-05,5.9445335e-07,0.9995443,3.6625025e-07,2.1309113e-08,0.00021637212,8.606599e-05,5.353564e-05
3,4.456013202667236,0.5938634872436523,0.004603530280292034,0.5892599821090698,0.4900495409965515,0.24026313424110413,0.2497864067554474,-105.6199951171875,-110.55314636230469,-113.04414367675781,7.4241485595703125,2.490997314453125,1675.9719750477143,12.07331100572776,0.9798601269721985,0.9774242639541626,0.9770234227180481,0.0028367042541503906,0.00040084123611450195,7,7,7,7,6.0244965e-06,7.770331e-07,0.005475669,0.19297099,2.8913502e-07,0.0005506986,2.9280767e-10,0.7884746,0.00030080887,0.012220189,3.6240408e-07,4.3480178e-08,0.00012410618,0.00021518092,5.097844e-08,1.1432237e-06,2.632572e-12,0.9995303,6.1003607e-06,0.00012268008
4,4.100671768188477,0.5231208801269531,0.004260186105966568,0.5188606977462769,0.4056780934333801,0.1716543734073639,0.23402372002601624,-88.60871124267578,-90.0951156616211,-92.24627685546875,3.6375656127929688,2.1511611938476562,37.99921922455146,8.594832871960298,0.9863284230232239,0.9849477410316467,0.9841920137405396,0.002136409282684326,0.0007557272911071777,6,6,6,6,4.98527e-06,0.02521205,0.037984315,0.020105103,4.430443e-05,0.032774027,0.883197,5.193552e-07,0.00051798753,0.00015973972,3.1667852e-07,0.00011915202,7.53203e-05,4.5920468e-05,5.594996e-07,0.00015443229,0.9995844,2.1589628e-09,1.5275591e-05,4.628466e-06
5,6.221655368804932,1.278609275817871,0.005583495367318392,1.2730257511138916,0.973461925983429,0.48032665252685547,0.4931352734565735,-83.38449096679688,-92.98207092285156,-92.45467376708984,9.070182800292969,-0.5273971557617188,8692.212599503475,0.590139012303241,0.9852927327156067,0.9838565587997437,0.985107958316803,0.00018477439880371094,-0.0012513995170593262,9,9,9,9,4.2609586e-06,0.006285481,0.07871123,0.0039446154,0.1570503,0.043280553,0.0041465946,0.0150773935,0.08466401,0.6068356,2.5695996e-08,1.2060075e-05,3.5027355e-05,1.712251e-05,0.00011907636,0.0001434754,4.5308152e-05,5.166685e-05,0.000115971816,0.9994604
6,4.822653293609619,0.5166727304458618,0.005026917904615402,0.5116457939147949,0.5360370874404907,0.32716113328933716,0.20887595415115356,-103.35958862304688,-105.30271911621094,-106.4744873046875,3.114898681640625,1.1717681884765625,22.53114741895368,3.2276947685181474,0.9810044169425964,0.9796463847160339,0.9792617559432983,0.0017426609992980957,0.0003846287727355957,3,3,3,3,0.0066280235,0.00034254094,0.006363303,0.8550072,9.9650926e-05,0.11819457,1.1116693e-06,0.00045498533,0.012562022,0.00034666763,1.7811482e-05,2.4960887e-06,9.270704e-05,0.9994717,6.1516903e-07,0.00037079898,3.9704697e-09,7.497781e-06,3.2717213e-05,3.711961e-06
7,5.851100444793701,1.1344881057739258,0.005581620614975691,1.128906488418579,1.0752414464950562,0.6675691604614258,0.40767228603363037,-100.1109390258789,-102.02179718017578,-102.39410400390625,2.2831649780273438,0.37230682373046875,9.807672406829878,1.45107813820488,0.9823855757713318,0.9814316034317017,0.9806268811225891,0.0017586946487426758,0.0008047223091125488,3,3,3,3,0.0027825937,0.0050079455,0.03257531,0.6901892,0.000455062,0.06233514,1.4188913e-05,0.062538475,0.09077779,0.053324305,1.404342e-06,4.9218243e-06,0.00010081938,0.99944025,2.5910563e-07,0.00025024006,1.6359824e-08,7.772647e-05,4.3980548e-05,8.051655e-05
8,4.562222003936768,0.7217545509338379,0.0038208174519240856,0.717933714389801,0.7737986445426941,0.622626006603241,0.15117263793945312,-141.80557250976562,-148.29505920410156,-144.3629608154297,2.5573883056640625,-3.932098388671875,12.902076993611601,0.01960249571072495,0.9528359770774841,0.9555377960205078,0.9514281749725342,0.0014078021049499512,0.004109621047973633,2,0,2,2,0.30823335,2.2820645e-08,0.6685926,1.0187994e-08,2.7928263e-05,0.00039645773,0.022704013,8.370858e-06,6.5458835e-06,3.0654275e-05,0.00037582617,5.4308213e-10,0.99958307,1.1830867e-09,5.8024307e-07,6.8273407e-06,3.286519e-05,4.7614108e-07,1.0459671e-07,1.6670347e-07
9,5.341180801391602,0.8803353905677795,0.005229858681559563,0.8751055598258972,0.5950280427932739,0.29145076870918274,0.3035772740840912,-130.40328979492188,-126.38489532470703,-125.58698272705078,-4.816307067871094,-0.79791259765625,0.008096632310680755,0.45026787405051033,0.9686439633369446,0.969122588634491,0.9691921472549438,-0.0005481839179992676,-6.955862045288086e-05,3,3,3,3,0.007600914,0.00010303861,0.21423939,0.7043007,6.119096e-06,0.017974325,0.0035968523,0.004836495,0.04688188,0.0004602989,7.241493e-06,1.6126742e-07,0.0002499707,0.99946207,5.6686447e-09,0.0002072757,9.336898e-06,1.400062e-05,4.5930963e-05,3.941456e-06
