image_index,latent_distance,original_entropy_latent,counterfactual_entropy_latent,latent_entropy_reduction,original_entropy_recon,counterfactual_entropy_recon,recon_entropy_reduction,original_log_likelihood,reconstruction_log_likelihood,counterfactual_log_likelihood,log_likelihood_difference,recon_counterfactual_log_likelihood_difference,likelihood_ratio,recon_counterfactual_likelihood_ratio,original_realism_score,reconstruction_realism_score,counterfactual_realism_score,realism_score_difference,recon_counterfactual_realism_difference,original_class_latent,original_class_recon,counterfactual_class_latent,counterfactual_class_recon,original_prob_class_0,original_prob_class_1,original_prob_class_2,original_prob_class_3,original_prob_class_4,original_prob_class_5,original_prob_class_6,original_prob_class_7,original_prob_class_8,original_prob_class_9,counterfactual_prob_class_0,counterfactual_prob_class_1,counterfactual_prob_class_2,counterfactual_prob_class_3,counterfactual_prob_class_4,counterfactual_prob_class_5,counterfactual_prob_class_6,counterfactual_prob_class_7,counterfactual_prob_class_8,counterfactual_prob_class_9
0,7.914074420928955,1.3141260147094727,0.00589922908693552,1.3082268238067627,0.8767215609550476,0.8947661519050598,-0.018044590950012207,-67.46052551269531,-96.02984619140625,-96.45762634277344,28.997100830078125,0.4277801513671875,3919953196840.453,1.5338488293287131,0.9905006885528564,0.9830495119094849,0.9825063943862915,0.007994294166564941,0.0005431175231933594,7,9,7,9,1.0962929e-06,0.27184227,7.08723e-05,3.5607778e-07,0.2714182,2.6063313e-05,9.978809e-08,0.35085812,5.081644e-07,0.105782375,3.984981e-09,0.00028507246,6.9439545e-07,6.130234e-09,0.0002245263,1.3113242e-07,1.7636148e-10,0.999374,2.9179332e-09,0.000115590134
1,7.238592147827148,1.3036190271377563,0.005793311633169651,1.2978256940841675,0.3929414749145508,0.06361803412437439,0.3293234407901764,-88.0683364868164,-99.3178482055664,-126.54261016845703,38.474273681640625,27.224761962890625,5.118759854200346e+16,666137513493.6608,0.9853537082672119,0.9828699231147766,0.9706528186798096,0.014700889587402344,0.012217104434967041,1,1,1,1,2.8426436e-07,0.5001949,0.11314836,0.027011719,0.07288254,0.00055487227,1.8178192e-05,0.27272514,0.0018632808,0.011600652,2.2105813e-09,0.9994161,0.00013476495,5.399152e-05,9.9879755e-05,4.3075665e-06,2.6065152e-07,0.00025212276,7.2381704e-06,3.1455183e-05
2,7.545924663543701,1.219836950302124,0.005754726007580757,1.2140822410583496,0.1188850998878479,0.055311042815446854,0.06357406079769135,-120.64237976074219,-178.80038452148438,-188.70147705078125,68.05909729003906,9.901092529296875,3.611523094543629e+29,19952.156850811578,0.9727215766906738,0.9164299964904785,0.9107150435447693,0.06200653314590454,0.0057149529457092285,9,5,9,5,0.00012367497,6.495446e-07,7.139678e-07,0.27044523,8.171645e-06,0.04534127,2.5828735e-06,3.2815384e-09,0.28592917,0.39814854,1.8088441e-06,5.4964437e-09,4.8906252e-09,0.00023517445,5.18588e-07,0.00011185139,8.4121305e-09,2.5372591e-11,0.00025816495,0.9993924
3,6.850594997406006,1.1061190366744995,0.005829809233546257,1.100289225578308,0.5602982044219971,0.9602029323577881,-0.399904727935791,-86.87533569335938,-90.42666625976562,-81.28324127197266,-5.592094421386719,-9.143424987792969,0.0037272133287704545,0.00010692050026922114,0.9867212772369385,0.9843387007713318,0.9875154495239258,-0.0007941722869873047,-0.003176748752593994,9,7,9,7,0.0003856579,7.915235e-05,0.00013783775,0.13308641,0.00022814429,0.11543472,2.5655536e-06,0.14298595,7.249512e-05,0.60758704,5.69339e-06,5.0807284e-07,1.0344602e-06,0.00019245096,9.719231e-06,0.0001953534,1.331751e-08,0.00019941891,5.841011e-07,0.99939525
4,7.206372261047363,1.0878061056137085,0.005548809189349413,1.0822572708129883,0.47881656885147095,0.002656124997884035,0.4761604368686676,-100.02835083007812,-120.25379943847656,-135.067626953125,35.039276123046875,14.813827514648438,1649545389008234.0,2713710.6901879837,0.9812970757484436,0.9730874300003052,0.9661136269569397,0.015183448791503906,0.0069738030433654785,6,6,6,6,0.00024937248,0.2966945,0.26949665,0.0009813699,5.780149e-05,0.00017877553,0.43230098,3.5095843e-05,4.877296e-06,5.633026e-07,7.0110023e-06,0.00030639468,0.0002650864,7.617349e-06,5.1678165e-07,9.277004e-06,0.99940395,9.17054e-08,8.485458e-08,4.040721e-09
5,6.436834812164307,0.9376125335693359,0.005644834600389004,0.9319676756858826,1.6646728515625,1.6166267395019531,0.048046112060546875,-113.10455322265625,-77.8978271484375,-85.30757904052734,-27.796974182128906,7.409751892089844,8.470859902205861e-13,1652.0164176723158,0.9761062264442444,0.9883528351783752,0.9857015609741211,-0.009595334529876709,0.0026512742042541504,7,1,7,7,1.704857e-05,0.00042402538,0.001581411,0.051087018,0.03536752,7.082169e-05,3.1103212e-07,0.6246311,0.00010719987,0.28671363,1.2212524e-07,8.622235e-06,1.7499879e-05,0.00017905129,0.00011739649,4.828628e-07,1.6608398e-09,0.9994166,7.82012e-07,0.0002594292
6,6.224647045135498,0.8604408502578735,0.005415385123342276,0.8550254702568054,0.7581766843795776,0.8537704944610596,-0.09559381008148193,-104.3753433227539,-141.19085693359375,-134.67108154296875,30.295738220214844,-6.519775390625,14363885489534.648,0.0014740001394256553,0.9797463417053223,0.9620433449745178,0.9621005058288574,0.017645835876464844,-5.716085433959961e-05,9,7,9,7,5.068236e-05,4.0236804e-07,0.07135273,1.2847021e-05,0.00021806543,2.6733338e-07,9.892349e-11,0.0016840002,0.3066082,0.6200728,1.221433e-06,6.8610126e-09,0.00016906486,1.7964868e-07,9.459602e-06,6.015661e-09,8.0431825e-13,2.119306e-05,0.00038206836,0.9994168
7,6.835819721221924,0.8116196393966675,0.005843756720423698,0.8057758808135986,0.7678426504135132,0.7247639894485474,0.04307866096496582,-98.32596588134766,-146.54415893554688,-158.6182403564453,60.292274475097656,12.074081420898438,1.5296853447875907e+26,175269.7370656144,0.9825016856193542,0.9554131031036377,0.9457013010978699,0.036800384521484375,0.009711802005767822,6,0,6,0,0.4131067,1.45488e-08,4.710762e-09,1.1966301e-07,6.3479524e-09,0.03443152,0.5521556,2.728573e-07,0.0003057717,2.0850134e-08,0.0004175214,3.6911965e-10,1.6525253e-10,1.5697874e-09,1.3186544e-10,0.00022202346,0.9993536,2.51984e-09,6.7921164e-06,1.5458886e-10
8,6.22722053527832,0.7940859198570251,0.005369909107685089,0.7887160181999207,0.4583091735839844,0.02483288198709488,0.4334762990474701,-135.9768829345703,-179.7438201904297,-185.56947326660156,49.59259033203125,5.825653076171875,3.449755569649205e+21,338.88237683092865,0.9638197422027588,0.9175735712051392,0.9085685610771179,0.05525118112564087,0.00900501012802124,5,5,5,5,1.8636581e-07,5.4803406e-10,2.3066263e-10,0.33128318,4.1335784e-07,0.625973,3.2822734e-11,2.9080902e-06,6.6326675e-06,0.042733666,4.450516e-09,1.3847313e-11,1.6107275e-12,0.00040736145,7.317144e-09,0.99940693,2.2096387e-12,3.6917637e-08,1.2995626e-07,0.00018555496
9,6.051894187927246,0.7939633131027222,0.005141897592693567,0.7888213992118835,1.2635610103607178,0.987185001373291,0.27637600898742676,-70.33610534667969,-69.38724517822266,-75.18276977539062,4.8466644287109375,5.795524597167969,127.31501250182986,328.8246392177242,0.9901705384254456,0.9902172088623047,0.9891954660415649,0.0009750723838806152,0.001021742820739746,3,7,3,7,3.2849657e-05,0.43411186,0.016386779,0.543405,3.4038436e-07,8.902687e-05,2.3522139e-08,0.0057026935,1.3865449e-05,0.00025761663,4.0146364e-07,0.0003490353,0.0001255361,0.9994572,2.5985358e-09,3.0256433e-06,2.8795485e-10,5.805967e-05,3.7826692e-07,6.4215687e-06
