image_index,latent_distance,original_entropy_latent,counterfactual_entropy_latent,latent_entropy_reduction,original_entropy_recon,counterfactual_entropy_recon,recon_entropy_reduction,original_log_likelihood,reconstruction_log_likelihood,counterfactual_log_likelihood,log_likelihood_difference,recon_counterfactual_log_likelihood_difference,likelihood_ratio,recon_counterfactual_likelihood_ratio,original_realism_score,reconstruction_realism_score,counterfactual_realism_score,realism_score_difference,recon_counterfactual_realism_difference,original_class_latent,original_class_recon,counterfactual_class_latent,counterfactual_class_recon,original_prob_class_0,original_prob_class_1,original_prob_class_2,original_prob_class_3,original_prob_class_4,original_prob_class_5,original_prob_class_6,original_prob_class_7,original_prob_class_8,original_prob_class_9,counterfactual_prob_class_0,counterfactual_prob_class_1,counterfactual_prob_class_2,counterfactual_prob_class_3,counterfactual_prob_class_4,counterfactual_prob_class_5,counterfactual_prob_class_6,counterfactual_prob_class_7,counterfactual_prob_class_8,counterfactual_prob_class_9
0,6.847401142120361,1.0947648286819458,0.005083397962152958,1.0896813869476318,0.511149525642395,0.3603052794933319,0.1508442461490631,-128.13636779785156,-134.9963836669922,-135.80972290039062,7.6733551025390625,0.8133392333984375,2150.283778773661,2.255426822689811,0.9714592695236206,0.9624585509300232,0.9671739339828491,0.004285335540771484,-0.004715383052825928,7,7,7,7,1.457548e-15,8.291008e-09,0.2950612,0.33942166,1.509775e-09,8.288232e-11,5.9441223e-15,0.36551714,5.272646e-10,2.2491275e-18,9.699856e-18,1.3536858e-10,0.00022497954,0.00032918341,4.2925104e-11,9.710913e-13,1.1024802e-17,0.99944586,1.8389383e-12,5.1162976e-20
1,6.080845832824707,1.0576586723327637,0.004725675564259291,1.0529329776763916,0.0605587512254715,0.19196462631225586,-0.13140587508678436,-107.5381851196289,-111.59587097167969,-111.1347427368164,3.5965576171875,-0.46112823486328125,36.47246590638319,0.6305718109232515,0.9793316125869751,0.9775089025497437,0.9767672419548035,0.002564370632171631,0.0007416605949401855,8,1,8,1,4.5836828e-06,0.29690665,0.0007596894,1.8684149e-10,0.22867967,2.100573e-08,2.2173688e-05,1.990575e-07,0.47362697,1.5580063e-08,1.303082e-07,0.0002506094,1.25524175e-05,8.277135e-12,0.00023897678,6.462262e-10,5.8377975e-07,1.575719e-09,0.9994972,3.221757e-10
2,6.2553911209106445,1.0500116348266602,0.005444884765893221,1.0445667505264282,0.9999598264694214,0.4905692934989929,0.5093905329704285,-82.34294891357422,-104.88412475585938,-101.9115219116211,19.568572998046875,-2.9726028442382812,315154325.1871949,0.05116994944032217,0.9858108758926392,0.9797894954681396,0.9808511734008789,0.004959702491760254,-0.0010616779327392578,1,7,1,1,2.3968567e-11,0.64199114,0.062691614,0.015750213,0.08086739,1.2204332e-05,1.5398336e-07,0.19844589,5.5846203e-06,0.00023589729,2.330662e-13,0.99944526,0.00010650956,6.849768e-05,0.00016997565,2.2697378e-07,6.148611e-09,0.00020860322,2.7101793e-08,8.490653e-07
3,6.290289402008057,0.8851479291915894,0.005280931480228901,0.8798670172691345,0.8043025732040405,0.9351661801338196,-0.13086360692977905,-101.4522933959961,-123.1930923461914,-121.42716979980469,19.974876403808594,-1.7659225463867188,473127943.62854654,0.17102893155905674,0.9810082912445068,0.9733990430831909,0.9735594987869263,0.007448792457580566,-0.00016045570373535156,8,5,8,5,2.1516335e-05,8.385254e-11,0.0035375657,1.7551401e-06,6.4905388e-09,0.41709837,0.05596064,7.608825e-11,0.52338016,7.262552e-11,2.8610555e-07,4.774875e-13,7.736742e-05,2.581185e-08,1.4099323e-10,0.00032691658,0.0001551056,1.0971803e-12,0.9994404,1.4178973e-12
4,5.980685234069824,0.8608015179634094,0.0048568579368293285,0.8559446334838867,0.015955356881022453,0.010595954954624176,0.005359401926398277,-86.79676818847656,-93.5258560180664,-92.60718536376953,5.810417175292969,-0.918670654296875,333.75833236583827,0.39904916293893045,0.9860776662826538,0.9843937754631042,0.9846770167350769,0.0014006495475769043,-0.00028324127197265625,7,7,7,7,2.7445042e-06,0.000104393104,1.2895457e-05,0.041802984,8.151019e-05,0.003818769,1.9135129e-08,0.5014228,1.3413483e-06,0.45275253,2.2383547e-08,2.779614e-06,3.984099e-07,0.00018664348,1.719281e-06,1.8035113e-05,1.00358624e-10,0.9994843,8.6814484e-09,0.0003061091
5,5.8250932693481445,0.85619056224823,0.004663261119276285,0.8515272736549377,1.1076717376708984,0.5937929153442383,0.5138788223266602,-90.65914916992188,-97.0378189086914,-95.49442291259766,4.835273742675781,-1.54339599609375,125.87303531264709,0.21365429885181614,0.9853271245956421,0.9828264117240906,0.9825857877731323,0.0027413368225097656,0.00024062395095825195,6,6,6,6,4.4347166e-06,0.0013687228,3.6517793e-08,1.429571e-07,2.2948767e-09,0.047866404,0.52628857,3.470315e-10,0.42446646,5.1770107e-06,8.2788276e-08,2.1211918e-05,2.699741e-10,6.975747e-10,1.865915e-11,0.00013442601,0.9995012,8.4022047e-13,0.00034301178,9.872159e-09
6,5.457927703857422,0.839624285697937,0.004709972534328699,0.8349143266677856,0.31784185767173767,0.5626600980758667,-0.24481824040412903,-105.75244903564453,-120.99991607666016,-120.65345001220703,14.9010009765625,-0.346466064453125,2960891.539013146,0.7071828175157254,0.9794335961341858,0.9740525484085083,0.9734299182891846,0.006003677845001221,0.0006226301193237305,8,7,8,7,1.3290286e-13,1.972586e-10,0.17046879,1.151712e-05,1.697805e-06,1.0091368e-14,3.7607012e-17,0.14398393,0.68553406,3.2998076e-10,3.389801e-15,2.460219e-12,0.0002812592,2.601551e-07,2.553076e-08,6.9612566e-16,3.0426298e-18,0.00022614775,0.9994923,1.2114798e-11
7,5.437755584716797,0.8309290409088135,0.004571948200464249,0.8263570666313171,0.2124478816986084,0.5836081504821777,-0.37116026878356934,-99.14845275878906,-101.38134002685547,-100.91305541992188,1.7646026611328125,-0.46828460693359375,5.839251735409962,0.6260753129237437,0.9819836616516113,0.9813764691352844,0.9811587333679199,0.0008249282836914062,0.00021773576736450195,6,1,6,1,2.2430177e-05,0.29767802,0.0040237363,0.056517985,1.4590652e-05,5.6059966e-05,0.64168715,4.6564597e-09,3.8409162e-08,8.6601844e-11,6.3520525e-07,0.0003316679,2.1798209e-05,0.00013127887,1.0814457e-07,7.450122e-07,0.99951375,6.0379514e-12,7.383481e-10,3.7942528e-13
8,5.8548431396484375,0.8307266235351562,0.005157347768545151,0.8255692720413208,0.5161840319633484,0.6707212924957275,-0.15453726053237915,-115.61709594726562,-122.62564086914062,-122.6355972290039,7.018501281738281,0.00995635986328125,1117.11112766891,1.0100060893185705,0.9757389426231384,0.9730489253997803,0.9722827672958374,0.0034561753273010254,0.0007661581039428711,5,9,5,5,4.5257492e-11,2.5373561e-14,5.1600356e-12,0.09125447,1.6414892e-15,0.6683392,2.0700984e-12,5.7755244e-13,2.5546457e-05,0.24038075,5.662877e-13,5.04614e-16,2.2396064e-14,0.00025147677,1.00065e-17,0.999438,1.0701901e-13,4.219734e-15,3.7283664e-07,0.00031017305
9,5.47737979888916,0.8209234476089478,0.004815913736820221,0.8161075115203857,0.44465163350105286,0.2043658196926117,0.24028581380844116,-114.81816864013672,-102.82865142822266,-102.54553985595703,-12.272628784179688,-0.283111572265625,4.678051952391001e-06,0.7534357206396647,0.9779134392738342,0.9802624583244324,0.9804432988166809,-0.0025298595428466797,-0.00018084049224853516,1,1,1,1,1.7049557e-09,0.6898064,0.20150091,5.321295e-06,7.332354e-05,2.008581e-12,3.5352757e-16,0.108605415,1.44827e-08,8.604543e-06,3.0431057e-11,0.99948114,0.00025477455,7.911888e-08,1.6869948e-06,1.0919527e-13,3.1504805e-17,0.00026230302,1.897859e-10,1.4077938e-07
