image_index,latent_distance,original_entropy_latent,counterfactual_entropy_latent,latent_entropy_reduction,original_entropy_recon,counterfactual_entropy_recon,recon_entropy_reduction,original_log_likelihood,reconstruction_log_likelihood,counterfactual_log_likelihood,log_likelihood_difference,recon_counterfactual_log_likelihood_difference,likelihood_ratio,recon_counterfactual_likelihood_ratio,original_realism_score,reconstruction_realism_score,counterfactual_realism_score,realism_score_difference,recon_counterfactual_realism_difference,original_class_latent,original_class_recon,counterfactual_class_latent,counterfactual_class_recon,original_prob_class_0,original_prob_class_1,original_prob_class_2,original_prob_class_3,original_prob_class_4,original_prob_class_5,original_prob_class_6,original_prob_class_7,original_prob_class_8,original_prob_class_9,counterfactual_prob_class_0,counterfactual_prob_class_1,counterfactual_prob_class_2,counterfactual_prob_class_3,counterfactual_prob_class_4,counterfactual_prob_class_5,counterfactual_prob_class_6,counterfactual_prob_class_7,counterfactual_prob_class_8,counterfactual_prob_class_9
0,42.14238739013672,2.045541286468506,6.412388029275462e-05,2.0454771518707275,2.1242427825927734,0.7079092860221863,1.4163334369659424,-165.69332885742188,-173.07452392578125,-192.6689910888672,26.975662231445312,19.594467163085938,519255676338.41254,323421557.908793,0.937163770198822,0.926124632358551,0.8957769274711609,0.04138684272766113,0.030347704887390137,3,4,9,9,0.009569888,0.0011266384,0.16408479,0.1830768,0.11495816,0.091870815,0.0380029,0.15630472,0.092947625,0.14805762,5.6580997e-11,1.1837441e-10,1.1905672e-07,2.5905297e-06,3.2646366e-07,1.0344059e-09,8.235719e-12,1.3826442e-06,5.231378e-08,0.9999955
1,40.23444366455078,2.0667591094970703,0.08660027384757996,1.980158805847168,2.1072044372558594,0.3542201519012451,1.7529842853546143,-97.62970733642578,-101.14423370361328,-144.2401123046875,46.61040496826172,43.09587860107422,1.748403539418704e+20,5.203580400345155e+18,0.9829339385032654,0.9809611439704895,0.9565561413764954,0.02637779712677002,0.02440500259399414,5,8,8,8,0.05546308,0.0010067122,0.091599986,0.10566139,0.06275206,0.21320145,0.049374245,0.06490537,0.16632004,0.18971568,5.1505183e-05,3.634703e-08,0.010080956,3.106152e-07,2.1428064e-09,0.00425759,2.1188873e-06,1.2022183e-06,0.9853746,0.0002316254
2,32.3088493347168,2.0296359062194824,0.0010569083970040083,2.028578996658325,2.0488831996917725,0.14404872059822083,1.904834508895874,-96.83200073242188,-101.77157592773438,-98.22338104248047,1.3913803100585938,-3.5481948852539062,4.020395617324732,0.02877653775177387,0.9832040071487427,0.9819372296333313,0.9831075668334961,9.644031524658203e-05,-0.001170337200164795,7,9,7,7,0.00025701596,0.14283104,0.070281774,0.105584085,0.10863069,0.08992315,0.024450047,0.24706082,0.04062961,0.17035174,3.631616e-10,1.6949441e-08,1.2372945e-09,1.7851903e-07,3.2188958e-09,9.0073655e-09,1.5738205e-08,0.9998963,1.786581e-08,0.0001034451
3,25.209211349487305,2.093308210372925,0.05061865970492363,2.042689561843872,1.9384911060333252,0.31665512919425964,1.6218359470367432,-126.64813232421875,-130.64630126953125,-131.9212188720703,5.2730865478515625,1.2749176025390625,195.01696364894124,3.578406546340113,0.9719693660736084,0.9657813906669617,0.9665275812149048,0.005441784858703613,-0.0007461905479431152,6,6,6,6,0.008252929,0.042253282,0.07128798,0.1259429,0.08700936,0.10200498,0.2575527,0.0773902,0.15812223,0.070183374,9.088514e-08,0.0005801434,7.4813634e-06,7.412278e-07,7.2861934e-05,0.00682327,0.9920551,3.7053105e-08,0.00045693267,3.3544195e-06
4,32.93960952758789,1.9666815996170044,0.0009234939352609217,1.9657580852508545,2.039578437805176,0.312674880027771,1.7269035577774048,-87.18987274169922,-92.0898208618164,-112.4813461303711,25.291473388671875,20.391525268554688,96371214449.11888,717673485.8917733,0.9859126210212708,0.9848822951316833,0.9777335524559021,0.008179068565368652,0.00714874267578125,5,5,5,5,0.002640984,0.021126078,0.09343758,0.10083128,0.07071635,0.30856338,0.1980268,0.085042186,0.053597715,0.0660176,2.8277966e-06,5.7557615e-11,6.3577374e-09,7.0069905e-06,7.35655e-05,0.9999151,1.4126499e-09,4.5786058e-10,1.40474e-06,4.859688e-09
5,30.559913635253906,1.9907327890396118,0.0015585991786792874,1.989174246788025,2.1518845558166504,0.3468003273010254,1.805084228515625,-91.18556213378906,-99.36751556396484,-116.17733764648438,24.991775512695312,16.80982208251953,71415124578.88487,19971605.195746485,0.9842761754989624,0.9826924800872803,0.9771378040313721,0.007138371467590332,0.005554676055908203,6,6,7,7,0.02046969,0.0013619818,0.055909283,0.04547898,0.09084025,0.20370041,0.20944455,0.19493534,0.04937913,0.12848036,2.4660285e-10,5.8364524e-08,2.8950678e-08,1.1604264e-09,1.3711004e-06,5.5141403e-08,6.882531e-07,0.9998416,4.4991733e-10,0.0001562615
6,31.178091049194336,2.0930843353271484,0.026346057653427124,2.0667383670806885,1.9586498737335205,0.40171974897384644,1.5569300651550293,-106.9150619506836,-109.2016372680664,-125.77178955078125,18.856727600097656,16.570152282714844,154658125.98878628,15715409.45181783,0.9797371029853821,0.9780824184417725,0.9725209474563599,0.007216155529022217,0.005561470985412598,5,5,5,5,0.08619653,0.043367583,0.081024505,0.07907397,0.14480457,0.27952874,0.13931596,0.042313326,0.028371586,0.07600321,2.2421686e-08,1.324679e-10,1.4599674e-09,2.467107e-07,9.767296e-06,0.9959687,5.3598296e-08,7.6730015e-07,1.8778002e-06,0.004018527
7,29.369892120361328,1.9940061569213867,0.043379347771406174,1.9506268501281738,1.9122655391693115,0.3694397211074829,1.5428258180618286,-89.40203094482422,-95.26181030273438,-112.47236633300781,23.070335388183594,17.210556030273438,10454887278.525764,29816009.246903293,0.984796404838562,0.9835714101791382,0.9762473106384277,0.008549094200134277,0.007324099540710449,5,2,5,5,0.007564017,0.005888816,0.18826045,0.03275476,0.093727656,0.2118673,0.15475751,0.17376423,0.058283538,0.07313169,2.1951352e-07,1.254198e-10,1.6576885e-07,6.5566232e-06,5.9461325e-08,0.99284977,4.6615003e-07,0.00017465447,0.0069624675,5.5709565e-06
8,32.97480773925781,1.9580813646316528,9.18801233638078e-05,1.9579894542694092,1.9936875104904175,0.25303924083709717,1.7406482696533203,-79.43744659423828,-86.44927215576172,-126.75190734863281,47.31446075439453,40.302635192871094,3.5351611825831084e+20,3.185752777535786e+17,0.9881184697151184,0.9864131212234497,0.9698753356933594,0.018243134021759033,0.016537785530090332,8,8,8,8,0.0034400863,0.062413868,0.040058337,0.02260951,0.09195048,0.04379291,0.22393297,0.08647405,0.26030704,0.16502075,2.4374383e-11,3.9215115e-06,5.406583e-07,8.6275015e-10,6.496687e-07,1.2832585e-06,2.0738355e-08,4.5575765e-11,0.99999344,1.0268264e-07
9,34.81468200683594,1.9740577936172485,0.0342690646648407,1.9397886991500854,1.9617077112197876,0.6512168645858765,1.3104908466339111,-89.11437225341797,-95.05744171142578,-122.16539764404297,33.051025390625,27.107955932617188,225880088068780.56,592701023520.8721,0.9858312606811523,0.9835355281829834,0.971135675907135,0.014695584774017334,0.012399852275848389,4,4,4,4,0.0369071,0.01237817,0.058430117,0.011030333,0.31194806,0.13044633,0.06275497,0.12703398,0.11080984,0.13826106,7.4364865e-09,7.5044145e-11,1.3390796e-09,8.885159e-12,0.9948923,9.404641e-07,1.5439952e-06,0.00431618,4.172309e-11,0.0007890142
