image_index,latent_distance,original_entropy_latent,counterfactual_entropy_latent,latent_entropy_reduction,original_entropy_recon,counterfactual_entropy_recon,recon_entropy_reduction,original_log_likelihood,reconstruction_log_likelihood,counterfactual_log_likelihood,log_likelihood_difference,recon_counterfactual_log_likelihood_difference,likelihood_ratio,recon_counterfactual_likelihood_ratio,original_realism_score,reconstruction_realism_score,counterfactual_realism_score,realism_score_difference,recon_counterfactual_realism_difference,original_class_latent,original_class_recon,counterfactual_class_latent,counterfactual_class_recon,original_prob_class_0,original_prob_class_1,original_prob_class_2,original_prob_class_3,original_prob_class_4,original_prob_class_5,original_prob_class_6,original_prob_class_7,original_prob_class_8,original_prob_class_9,counterfactual_prob_class_0,counterfactual_prob_class_1,counterfactual_prob_class_2,counterfactual_prob_class_3,counterfactual_prob_class_4,counterfactual_prob_class_5,counterfactual_prob_class_6,counterfactual_prob_class_7,counterfactual_prob_class_8,counterfactual_prob_class_9
0,20.280832290649414,1.0185134410858154,0.05953747034072876,0.9589759707450867,1.2421464920043945,0.03000197559595108,1.2121444940567017,-189.76707458496094,-135.46299743652344,-165.04425048828125,-24.722824096679688,29.581253051757812,1.8323731431211444e-11,7030317974137.968,0.9100672602653503,0.9639023542404175,0.9352170825004578,-0.025149822235107422,0.028685271739959717,0,1,0,0,0.70795184,0.076018736,0.06498622,0.001206439,5.0219456e-05,0.0003594987,0.009580989,0.112324186,0.027519474,2.3305133e-06,0.9895405,6.9427997e-06,0.010178632,4.6293458e-06,1.9002567e-08,6.601184e-06,6.2478506e-07,0.0002494843,1.2498621e-05,3.3332103e-08
1,19.259918212890625,0.9962616562843323,0.011948802508413792,0.9843128323554993,1.3089011907577515,0.21957345306873322,1.0893276929855347,-105.98494720458984,-101.32373046875,-155.77064514160156,49.78569793701172,54.44691467285156,4.184599431788878e+21,4.4258286832994813e+23,0.980346143245697,0.982070803642273,0.9481720328330994,0.032174110412597656,0.033898770809173584,0,1,0,0,0.7230771,0.09937011,0.00021453257,0.00199859,0.0014817036,0.027238075,0.07461181,0.0034019079,0.065203175,0.0034029458,0.9986023,0.00014930757,4.1480303e-06,6.306069e-06,1.0901303e-07,2.745192e-06,0.0009789809,9.883698e-07,0.0001669358,8.825619e-05
2,14.112332344055176,0.717365026473999,0.014703275635838509,0.7026617527008057,1.71000337600708,0.9894356727600098,0.7205677032470703,-109.20480346679688,-122.79015350341797,-138.8848114013672,29.680007934570312,16.09465789794922,7760034799383.93,9768347.778019419,0.97993004322052,0.9715949296951294,0.9642013907432556,0.015728652477264404,0.007393538951873779,3,7,3,3,2.6480487e-07,3.960707e-05,0.022250976,0.8211382,1.601782e-05,0.03151183,0.00068588,0.02778066,0.009504762,0.08707178,1.5444118e-10,1.3308296e-06,0.0015948176,0.9981326,1.202183e-07,6.0494545e-05,1.7448934e-05,4.2831107e-05,2.30968e-06,0.0001481054
3,23.035503387451172,1.3701887130737305,0.004482302814722061,1.365706443786621,1.5948737859725952,1.2285785675048828,0.3662952184677124,-106.29071044921875,-142.6414794921875,-134.55287170410156,28.262161254882812,-8.088607788085938,1879752537059.431,0.00030701689230810226,0.9791712164878845,0.9596632122993469,0.9623615145683289,0.016809701919555664,-0.0026983022689819336,9,7,9,8,0.07306656,0.00022126037,0.30003017,0.0014709631,0.009381228,4.2755415e-05,1.9007945e-07,0.009268043,0.2646341,0.34188467,6.1705134e-05,4.213745e-07,5.7874953e-05,2.1676305e-08,2.4883792e-07,3.2917712e-06,2.6301907e-11,0.00020506309,0.000119356744,0.99955195
4,19.766019821166992,1.244910717010498,0.0037151414435356855,1.241195559501648,1.15971040725708,0.9883881211280823,0.1713222861289978,-86.06246948242188,-118.76647186279297,-148.51980590820312,62.45733642578125,29.753334045410156,1.3331424703157105e+27,8350429122693.692,0.9861686825752258,0.9735833406448364,0.9534452557563782,0.032723426818847656,0.020138084888458252,3,1,3,3,1.9425066e-05,0.22240247,0.0043274527,0.43395635,0.00919305,0.30153936,0.019797435,0.00014889931,0.008614274,1.248729e-06,7.865713e-09,5.3126438e-05,2.2159486e-06,0.9996022,3.1212574e-07,0.00033724113,1.607978e-06,3.2638507e-06,8.613559e-08,3.5092036e-08
5,19.123598098754883,1.6195002794265747,0.00806250236928463,1.6114377975463867,0.8134204745292664,1.2007861137390137,-0.3873656392097473,-88.88093566894531,-98.87036895751953,-159.4333953857422,70.55245971679688,60.563026428222656,4.370628966341846e+30,2.005340777942687e+26,0.9853984117507935,0.9818717837333679,0.9457044005393982,0.039694011211395264,0.03616738319396973,3,1,3,3,0.00012328505,0.11312548,0.17050451,0.28114632,0.16420196,0.0032526692,0.0006346733,0.25888306,0.0020334416,0.0060946057,4.5421848e-07,1.1449681e-05,0.00042487832,0.99914145,0.00015778317,1.347169e-05,2.3462526e-06,6.013826e-05,1.4195946e-06,0.00018662318
6,16.971477508544922,0.8488171696662903,0.05365578457713127,0.7951613664627075,1.2269372940063477,1.1981019973754883,0.028835296630859375,-104.68523406982422,-114.05529022216797,-133.35597229003906,28.670738220214844,19.300682067871094,2828416754185.4824,241090289.8254596,0.980663001537323,0.9756728410720825,0.9649782180786133,0.015684783458709717,0.010694622993469238,9,3,9,5,0.0003840961,0.011307641,0.027643358,0.14216147,0.003081973,0.06478196,8.3214667e-07,4.221451e-05,0.0010129657,0.7495834,1.9278207e-06,6.4031144e-07,0.0038242734,0.0041475506,6.232045e-05,4.2686373e-05,1.0033544e-09,1.8484301e-05,2.4467901e-05,0.99187756
7,18.146484375,1.498950481414795,0.005691638682037592,1.4932588338851929,1.893481731414795,1.3878434896469116,0.5056382417678833,-99.06078338623047,-105.17405700683594,-169.41673278808594,70.35594940185547,64.24267578125,3.590877537461632e+30,7.947665759620235e+27,0.9828852415084839,0.9799481630325317,0.9233718514442444,0.0595133900642395,0.056576311588287354,8,7,8,8,0.07631309,0.060016353,0.20577179,0.08221296,1.1786671e-05,0.0016969683,0.00024009582,0.10019416,0.47279173,0.0007510345,9.0209605e-06,2.254892e-05,0.00044941748,0.00010407909,5.6083092e-08,1.7762017e-06,7.67913e-08,2.7117256e-05,0.99938583,1.5229436e-07
8,27.429141998291016,1.6335810422897339,0.005977848544716835,1.6276031732559204,0.9776707887649536,0.30852505564689636,0.6691457033157349,-146.5192413330078,-195.09542846679688,-226.8209991455078,80.3017578125,31.725570678710938,7.492216268096967e+34,60012301294460.37,0.960761308670044,0.8874381184577942,0.8265156149864197,0.13424569368362427,0.06092250347137451,4,2,4,4,0.28171605,0.008634368,0.17863318,1.7837593e-06,0.3252043,0.004430651,0.09903772,0.018808188,0.008525585,0.07500813,9.1569345e-05,7.385238e-08,6.911422e-06,5.1622653e-09,0.9993385,1.2878062e-06,2.763472e-05,5.885882e-07,8.962789e-06,0.0005244944
9,20.081584930419922,0.971768319606781,0.0006811906932853162,0.9710871577262878,0.9759879112243652,1.5856153964996338,-0.6096274852752686,-127.24950408935547,-168.426513671875,-233.0349578857422,105.78545379638672,64.60844421386719,8.75062049574479e+45,1.1457524812696066e+28,0.9707136154174805,0.9322165250778198,0.7830954194068909,0.1876181960105896,0.14912110567092896,8,2,8,2,0.19346157,1.0918831e-06,0.020361213,0.048087582,5.7598063e-06,0.0031331778,0.012595392,4.08559e-05,0.6937921,0.02852124,3.381997e-05,4.1666495e-10,3.2709517e-07,1.887817e-05,2.236467e-11,3.9604902e-07,7.72727e-08,4.6068884e-08,0.9999418,4.618224e-06
