image_index,latent_distance,original_entropy_latent,counterfactual_entropy_latent,latent_entropy_reduction,original_entropy_recon,counterfactual_entropy_recon,recon_entropy_reduction,original_log_likelihood,reconstruction_log_likelihood,counterfactual_log_likelihood,log_likelihood_difference,recon_counterfactual_log_likelihood_difference,likelihood_ratio,recon_counterfactual_likelihood_ratio,original_realism_score,reconstruction_realism_score,counterfactual_realism_score,realism_score_difference,recon_counterfactual_realism_difference,original_class_latent,original_class_recon,counterfactual_class_latent,counterfactual_class_recon,original_prob_class_0,original_prob_class_1,original_prob_class_2,original_prob_class_3,original_prob_class_4,original_prob_class_5,original_prob_class_6,original_prob_class_7,original_prob_class_8,original_prob_class_9,counterfactual_prob_class_0,counterfactual_prob_class_1,counterfactual_prob_class_2,counterfactual_prob_class_3,counterfactual_prob_class_4,counterfactual_prob_class_5,counterfactual_prob_class_6,counterfactual_prob_class_7,counterfactual_prob_class_8,counterfactual_prob_class_9
0,27.096515655517578,1.3534666299819946,0.025947267189621925,1.327519416809082,1.223356008529663,0.6468884944915771,0.5764675140380859,-113.42962646484375,-104.3020248413086,-106.84858703613281,-6.5810394287109375,2.5465621948242188,0.0013864074738972752,12.763151048748252,0.9754741787910461,0.9798357486724854,0.9800004959106445,-0.004526317119598389,-0.0001647472381591797,1,1,7,7,0.00061483885,0.32843468,0.25816795,0.05500167,0.00015336537,4.93476e-10,3.8580784e-11,0.32684815,1.4309651e-05,0.03076504,1.3240367e-07,1.2166843e-06,1.826474e-08,6.1787206e-09,5.7067112e-08,8.206305e-16,8.1702795e-19,0.9960261,2.1702483e-15,0.0039724563
1,20.47562599182129,1.4112510681152344,0.017601635307073593,1.3936494588851929,1.3269143104553223,1.2336481809616089,0.09326612949371338,-114.13468933105469,-139.50875854492188,-140.6005859375,26.465896606445312,1.091827392578125,311883827120.89514,2.9797142080462975,0.9750574231147766,0.9607144594192505,0.9602457284927368,0.014811694622039795,0.0004687309265136719,5,5,5,5,0.00022108319,0.046565924,0.19772972,0.15284175,0.029362299,0.5189984,0.022734012,0.021307426,0.010229733,9.601218e-06,1.1567551e-08,1.6207989e-05,1.5533963e-07,9.553169e-06,1.6620658e-06,0.9975188,0.0024440987,9.560057e-06,1.7440097e-09,4.9351988e-11
2,30.337820053100586,1.4774795770645142,0.002920538419857621,1.4745590686798096,1.352292776107788,0.3786708414554596,0.9736219644546509,-79.3011703491211,-88.16944885253906,-84.0003662109375,4.699195861816406,-4.1690826416015625,109.85879527107184,0.015466441888394852,0.988141655921936,0.9847464561462402,0.9881114959716797,3.0159950256347656e-05,-0.003365039825439453,1,1,1,1,5.1636806e-09,0.411659,0.10861186,0.16632645,0.00012871153,0.19455959,0.118714355,7.361792e-10,1.1713075e-08,3.4013536e-10,1.6297319e-08,0.9996826,4.143683e-07,5.7205207e-06,3.5850634e-09,2.3955306e-06,0.00030890046,1.9996452e-14,2.329715e-16,3.814405e-21
3,22.62990379333496,1.3085596561431885,0.00709338067099452,1.3014662265777588,1.415208339691162,0.4958469867706299,0.9193613529205322,-88.1991958618164,-98.44927978515625,-101.88238525390625,13.683189392089844,3.43310546875,876059.5894487511,30.972678239266987,0.9855291247367859,0.9826091527938843,0.9807400703430176,0.0047890543937683105,0.0018690824508666992,8,5,8,8,0.00607014,0.06302368,0.0042705513,0.00011280913,0.009790794,0.24022397,0.21955772,7.10634e-07,0.45691392,3.568946e-05,2.0056516e-10,6.004905e-09,1.8735472e-08,6.209053e-11,7.457738e-13,3.3940898e-05,0.00082885387,7.1942612e-12,0.99913716,3.9500563e-09
4,26.801101684570312,1.28944730758667,0.0028397971764206886,1.2866075038909912,1.534681797027588,0.24227918684482574,1.2924026250839233,-121.02699279785156,-122.66056060791016,-131.34786987304688,10.320877075195312,8.687309265136719,30359.873814561488,5927.212210247711,0.9723147749900818,0.9710851907730103,0.9673025012016296,0.0050122737884521484,0.0037826895713806152,8,9,8,8,0.0042941524,0.0003379438,0.0016715815,0.25863603,0.008266554,0.045524765,4.3058562e-06,2.3157397e-06,0.40215275,0.2791096,9.226823e-11,3.9051314e-11,1.9349971e-11,6.1936585e-09,5.095411e-11,2.041858e-07,9.9066965e-05,1.0670397e-17,0.9997101,0.000190697
5,20.48014259338379,1.3156416416168213,0.010386037640273571,1.305255651473999,0.9491887092590332,0.06953959912061691,0.8796491026878357,-79.62545013427734,-89.66231536865234,-94.93099975585938,15.305549621582031,5.268684387207031,4437268.851392443,194.16035449545473,0.9879667162895203,0.9853008389472961,0.9837783575057983,0.004188358783721924,0.0015224814414978027,4,4,4,4,2.8293563e-05,0.03935878,2.5115674e-05,3.0818387e-06,0.49894547,2.4647284e-09,0.10921447,4.871314e-05,0.12806547,0.2243106,6.6361125e-09,2.084567e-05,1.7059023e-12,1.5873697e-14,0.99865496,3.21702e-14,5.076331e-06,3.2045977e-09,9.84733e-07,0.0013181827
6,18.905487060546875,1.147796869277954,0.0038214672822505236,1.1439753770828247,1.4023747444152832,0.36359816789627075,1.0387766361236572,-104.08826446533203,-121.55351257324219,-120.11200714111328,16.02374267578125,-1.4415054321289062,9099615.117216462,0.23657134836505495,0.9803221821784973,0.9723846912384033,0.9723420739173889,0.007980108261108398,4.26173210144043e-05,8,6,8,8,0.0013031126,6.549616e-05,0.028565416,0.0001771221,0.0006155215,0.17451547,0.3436339,2.5732245e-06,0.4511209,4.9237514e-07,4.8907808e-08,1.372192e-11,1.1623524e-05,1.928689e-10,2.515098e-08,2.4218005e-05,0.00038283225,1.2271455e-11,0.9995813,1.11423315e-10
7,31.66641616821289,1.587235689163208,0.0046177092008292675,1.582617998123169,1.643221378326416,1.096384048461914,0.546837329864502,-173.84451293945312,-155.7857666015625,-159.02552795410156,-14.818984985351562,3.2397613525390625,3.6660348865157614e-07,25.52762891653645,0.9267619252204895,0.9490830302238464,0.9439341425895691,-0.01717221736907959,0.005148887634277344,9,9,9,9,0.059122574,2.3473961e-12,0.06811486,0.147505,0.03310942,0.018934323,0.0098236045,9.453908e-08,0.27225193,0.39113817,7.33113e-08,1.1443825e-22,8.279156e-09,0.0005162371,1.582945e-05,5.206903e-08,2.0517503e-14,2.330343e-08,3.8502108e-08,0.9994678
8,25.12737274169922,1.470777153968811,0.05647118389606476,1.4143059253692627,1.4363481998443604,1.2614860534667969,0.17486214637756348,-104.22309875488281,-114.3563003540039,-124.5836181640625,20.360519409179688,10.227317810058594,695762837.2690779,27648.2526611531,0.9817106127738953,0.9759222269058228,0.971895158290863,0.009815454483032227,0.004027068614959717,9,9,9,9,0.041586313,0.025533784,0.017296886,0.36508515,0.0128163025,0.09749609,2.0178752e-10,0.0085361125,0.034691975,0.39695737,1.4002643e-09,1.615598e-12,1.2493286e-09,1.7157727e-07,1.03575175e-08,0.010101655,1.6881323e-16,2.2293913e-13,4.1219802e-11,0.9898982
9,28.49506187438965,1.3878027200698853,0.01683659479022026,1.3709660768508911,1.2038437128067017,0.3070186972618103,0.8968250155448914,-126.56517791748047,-131.95553588867188,-136.54112243652344,9.975944519042969,4.5855865478515625,21502.9307556688,98.06068756269876,0.9698977470397949,0.9661853909492493,0.9645285606384277,0.0053691864013671875,0.0016568303108215332,6,6,6,6,0.16264099,1.2306452e-06,0.023820482,0.00022942628,5.9178155e-06,0.17820996,0.46467042,1.4592556e-11,0.16104335,0.009378228,0.002356058,8.804296e-12,3.8784847e-08,1.0880098e-11,1.42363215e-08,1.8278151e-05,0.99762505,2.91443e-23,5.6940416e-07,1.9516376e-15
