image_index,latent_distance,original_entropy_latent,counterfactual_entropy_latent,latent_entropy_reduction,original_entropy_recon,counterfactual_entropy_recon,recon_entropy_reduction,original_log_likelihood,reconstruction_log_likelihood,counterfactual_log_likelihood,log_likelihood_difference,recon_counterfactual_log_likelihood_difference,likelihood_ratio,recon_counterfactual_likelihood_ratio,original_realism_score,reconstruction_realism_score,counterfactual_realism_score,realism_score_difference,recon_counterfactual_realism_difference,original_class_latent,original_class_recon,counterfactual_class_latent,counterfactual_class_recon,original_prob_class_0,original_prob_class_1,original_prob_class_2,original_prob_class_3,original_prob_class_4,original_prob_class_5,original_prob_class_6,original_prob_class_7,original_prob_class_8,original_prob_class_9,counterfactual_prob_class_0,counterfactual_prob_class_1,counterfactual_prob_class_2,counterfactual_prob_class_3,counterfactual_prob_class_4,counterfactual_prob_class_5,counterfactual_prob_class_6,counterfactual_prob_class_7,counterfactual_prob_class_8,counterfactual_prob_class_9
0,32.506141662597656,1.5188634395599365,0.004721509292721748,1.5141419172286987,1.5716472864151,1.176025390625,0.3956218957901001,-146.9892120361328,-151.91043090820312,-147.03317260742188,0.0439605712890625,-4.87725830078125,1.0449411533935045,0.007617871334167185,0.9592078328132629,0.9458273649215698,0.954753577709198,0.004454255104064941,-0.008926212787628174,4,4,2,2,0.1379423,6.581264e-06,0.28690356,1.0365707e-09,0.34937906,5.954952e-05,0.13557447,1.370623e-08,0.010043957,0.0800905,0.0004192791,2.4713592e-13,0.99948126,2.2276952e-15,3.069532e-06,1.4878362e-15,2.6916284e-06,2.6536002e-14,2.1290138e-08,9.360511e-05
1,22.98959732055664,1.7126421928405762,0.0011196478735655546,1.7115225791931152,1.5333349704742432,0.34430885314941406,1.189026117324829,-88.00804901123047,-106.10516357421875,-98.64735412597656,10.639305114746094,-7.4578094482421875,41743.75401876066,0.0005769185582826313,0.9855836629867554,0.9805035591125488,0.9821425080299377,0.003441154956817627,-0.001638948917388916,1,1,1,1,1.5958074e-07,0.30986995,0.17105184,0.15905656,0.094894715,0.031216916,0.00095370534,0.20893909,1.1530079e-05,0.024005497,1.7424666e-13,0.9998958,1.8895173e-06,1.3253134e-05,8.69851e-05,6.142621e-08,6.4586084e-07,1.2733245e-06,9.1771973e-10,5.3386692e-08
2,28.54795265197754,1.7060949802398682,0.023058347404003143,1.6830366849899292,1.3590086698532104,0.13921773433685303,1.2197909355163574,-184.08328247070312,-203.44908142089844,-180.34686279296875,-3.736419677734375,-23.102218627929688,0.02383930290595851,9.264754807497803e-11,0.9093560576438904,0.8718341588973999,0.9171985387802124,-0.007842481136322021,-0.0453643798828125,0,0,0,0,0.3370059,0.19840397,0.17298986,0.07047985,3.3719796e-05,4.1829356e-08,0.038112473,0.037313618,0.14566056,3.1860928e-10,0.99657744,3.262297e-05,1.4202452e-06,3.5431963e-10,1.0997216e-12,1.7892798e-10,5.8717733e-09,1.5792295e-06,0.0033869324,1.6692326e-17
3,24.902080535888672,1.465358018875122,0.1084701418876648,1.3568878173828125,1.4349838495254517,1.3705939054489136,0.06438994407653809,-102.55230712890625,-112.09435272216797,-125.66944122314453,23.11713409423828,13.575088500976562,10955791902.518536,786295.9293330427,0.9807049632072449,0.9760361313819885,0.9701957106590271,0.010509252548217773,0.005840420722961426,9,9,9,9,0.07065307,0.054615304,0.045386687,0.26827878,0.019822717,0.056243207,1.8760288e-08,0.0013789253,0.004599602,0.47902167,5.416565e-10,7.436743e-08,8.125754e-09,0.000105204424,0.009992146,0.009036763,2.6399156e-15,3.4389632e-08,2.9297245e-09,0.9808658
4,21.58701515197754,1.4511045217514038,0.00021031736105214804,1.4508942365646362,1.3711493015289307,1.2026922702789307,0.16845703125,-117.73212432861328,-141.3463897705078,-137.97134399414062,20.239219665527344,-3.3750457763671875,616284746.5140855,0.0342165519663688,0.9752065539360046,0.9607416391372681,0.9613922834396362,0.013814270496368408,-0.0006506443023681641,5,5,5,5,7.870399e-05,0.02843374,0.21955231,0.12312549,0.06790711,0.48443156,0.06767955,0.008647785,0.00014373598,8.618071e-10,1.7333978e-06,7.141453e-09,1.3643323e-08,3.4626976e-07,3.4399733e-07,0.99998325,2.4133526e-09,3.1387632e-08,1.4281599e-05,4.343588e-13
5,26.633682250976562,1.4940502643585205,0.0006530878017656505,1.4933972358703613,1.5820598602294922,1.0598676204681396,0.5221922397613525,-88.08940887451172,-97.6263656616211,-106.38941955566406,18.300010681152344,8.763053894042969,88632634.33880822,6393.607192988112,0.9858156442642212,0.9821009039878845,0.9799402356147766,0.00587540864944458,0.00216066837310791,5,5,5,5,2.9681567e-06,0.25379726,0.070840076,0.2185282,0.011345439,0.3620687,0.083387524,3.602652e-07,2.9430053e-05,6.766924e-11,2.6408063e-11,6.0662765e-05,3.4445563e-10,2.0055099e-07,2.7232597e-10,0.9999391,1.0011252e-09,3.2494484e-14,3.730026e-15,9.6214075e-17
6,29.86343002319336,1.4557836055755615,0.0017136582173407078,1.454069972038269,1.489149808883667,0.5958127975463867,0.8933370113372803,-105.0549087524414,-114.00174713134766,-123.06484985351562,18.00994110107422,9.063102722167969,66315956.74425756,8630.888401445365,0.9791778922080994,0.9767090082168579,0.9713772535324097,0.007800638675689697,0.005331754684448242,9,9,9,9,0.013564259,2.1405456e-06,0.11175908,0.15449294,0.007556477,0.00085322466,2.2757434e-09,0.03209648,0.25210562,0.4275697,9.037898e-09,4.654975e-16,1.855341e-09,1.7397268e-05,1.366252e-07,6.0332717e-05,6.467499e-15,4.2397e-05,3.4340257e-05,0.9998454
7,33.88222122192383,1.4029357433319092,1.7435362678952515e-05,1.4029183387756348,1.6051346063613892,1.178511619567871,0.42662298679351807,-173.50326538085938,-158.8560791015625,-158.7153778076172,-14.787887573242188,-0.1407012939453125,3.7818302202998033e-07,0.8687487734629743,0.9252061247825623,0.9444066286087036,0.9424219727516174,-0.017215847969055176,0.0019846558570861816,9,9,9,9,0.023878241,3.881171e-06,0.028337482,0.2115211,0.040743258,0.010282886,0.0030184356,9.2636064e-08,0.21912481,0.46308982,1.596248e-11,2.5041836e-19,2.2496633e-14,2.026474e-08,9.847598e-07,1.4875139e-13,1.5665044e-14,6.9979783e-15,1.4370464e-07,0.9999988
8,22.989879608154297,1.6042149066925049,7.659475522814319e-05,1.6041382551193237,1.5397794246673584,1.7221403121948242,-0.18236088752746582,-108.35334777832031,-117.40620422363281,-119.23055267333984,10.877204895019531,1.8243484497070312,52955.37702726715,6.198754902505444,0.9783241152763367,0.9756205677986145,0.9729462265968323,0.0053778886795043945,0.0026743412017822266,3,7,3,3,7.573763e-12,0.045725126,0.054495372,0.43137607,0.011536534,0.0544685,2.766538e-05,0.25464937,0.06297735,0.084743954,6.845464e-17,7.247537e-08,1.3732804e-06,0.9999948,1.3711507e-07,1.4194854e-06,4.836437e-10,1.1558661e-06,8.8259085e-08,9.486153e-07
9,29.226341247558594,1.5018882751464844,0.03639088198542595,1.465497374534607,1.4268654584884644,0.46010512113571167,0.9667603373527527,-78.26871490478516,-92.28182983398438,-85.48416137695312,7.215446472167969,-6.79766845703125,1360.2808600723877,0.0011163749921060833,0.9879634380340576,0.9848949313163757,0.9861688613891602,0.001794576644897461,-0.0012739300727844238,1,1,1,1,1.0782002e-06,0.35491982,0.123441085,0.16175804,2.2692386e-05,0.25919512,0.10066218,6.3885772e-09,3.028707e-09,3.3573015e-14,1.0165019e-13,0.99466985,1.5280864e-07,4.808079e-06,2.046611e-06,0.0014493758,0.0038737212,6.0318227e-13,3.3790563e-17,1.0709352e-18
