image_index,latent_distance,original_entropy_latent,counterfactual_entropy_latent,latent_entropy_reduction,original_entropy_recon,counterfactual_entropy_recon,recon_entropy_reduction,original_log_likelihood,reconstruction_log_likelihood,counterfactual_log_likelihood,log_likelihood_difference,recon_counterfactual_log_likelihood_difference,likelihood_ratio,recon_counterfactual_likelihood_ratio,original_realism_score,reconstruction_realism_score,counterfactual_realism_score,realism_score_difference,recon_counterfactual_realism_difference,original_class_latent,original_class_recon,counterfactual_class_latent,counterfactual_class_recon,original_prob_class_0,original_prob_class_1,original_prob_class_2,original_prob_class_3,original_prob_class_4,original_prob_class_5,original_prob_class_6,original_prob_class_7,original_prob_class_8,original_prob_class_9,counterfactual_prob_class_0,counterfactual_prob_class_1,counterfactual_prob_class_2,counterfactual_prob_class_3,counterfactual_prob_class_4,counterfactual_prob_class_5,counterfactual_prob_class_6,counterfactual_prob_class_7,counterfactual_prob_class_8,counterfactual_prob_class_9
0,33.20347595214844,2.0679659843444824,0.00013574605691246688,2.0678303241729736,2.0529494285583496,0.4819071292877197,1.5710422992706299,-105.1861801147461,-110.35123443603516,-133.52847290039062,28.34229278564453,23.17723846435547,2036579469058.5532,11634474466.537718,0.9804950952529907,0.9781668186187744,0.967521071434021,0.012974023818969727,0.010645747184753418,5,8,5,5,0.089606486,0.028474152,0.0454631,0.009675798,0.097771764,0.23480217,0.1296013,0.07751211,0.19998252,0.08711056,1.647292e-06,2.7084435e-10,5.7720108e-08,1.8498294e-07,3.6229089e-09,0.9999898,3.8798635e-07,6.7337798e-09,7.4625796e-06,3.901851e-07
1,28.264739990234375,2.0324058532714844,0.0009403694421052933,2.031465530395508,2.0877299308776855,0.5917050838470459,1.4960248470306396,-93.91337585449219,-98.78062438964844,-137.00296020507812,43.08958435058594,38.22233581542969,5.170930622601277e+18,3.978776370887452e+16,0.9846463799476624,0.9829006791114807,0.9618998169898987,0.022746562957763672,0.02100086212158203,6,6,6,6,0.037309512,0.0009200127,0.04891163,0.04518514,0.11476092,0.17523594,0.2435948,0.13399845,0.0659273,0.13415627,8.44498e-08,7.621754e-07,3.0965675e-05,3.5842333e-11,2.7201206e-05,1.1831519e-07,0.9999189,2.1758819e-05,2.732144e-07,4.1291393e-09
2,18.11795425415039,0.948806881904602,0.0696481466293335,0.8791587352752686,0.8960504531860352,0.1930331438779831,0.7030172944068909,-100.40768432617188,-103.68001556396484,-105.00656127929688,4.598876953125,1.3265457153320312,99.37265280517663,3.7680051192757795,0.9819934964179993,0.9813738465309143,0.9798826575279236,0.0021108388900756836,0.0014911890029907227,8,8,8,8,5.439116e-06,0.00024484284,0.024022369,0.0020444242,0.044480562,0.030411767,0.060478542,0.053160712,0.7675604,0.017590897,1.106196e-09,7.3160015e-07,2.5615507e-05,0.0008595938,0.00558017,1.22259335e-05,0.0042936085,1.0365793e-06,0.98922116,5.8203127e-06
3,23.977256774902344,1.9881271123886108,0.0008463552803732455,1.9872807264328003,2.0395853519439697,0.2957879900932312,1.7437973022460938,-94.64205169677734,-99.15557861328125,-80.52742004394531,-14.114631652832031,-18.628158569335938,7.414696158332727e-07,8.126312613598263e-09,0.9838243722915649,0.9826551675796509,0.9876614809036255,-0.003837108612060547,-0.005006313323974609,1,1,1,1,0.013204903,0.3054915,0.018479928,0.08348076,0.07891863,0.08538818,0.18125708,0.09414214,0.028205123,0.11143174,2.2523708e-12,0.99992245,6.824753e-05,5.9045846e-08,1.7749358e-08,2.9639113e-10,2.3024901e-07,1.8428707e-06,2.6945444e-09,7.1711797e-06
4,23.28622817993164,0.9092981815338135,0.0005794591270387173,0.9087187051773071,0.9040331840515137,0.5132869482040405,0.39074623584747314,-83.07241821289062,-86.73467254638672,-88.31322479248047,5.240806579589844,1.57855224609375,188.82234124759796,4.847932115515302,0.9873407483100891,0.986344575881958,0.9856950640678406,0.0016456842422485352,0.0006495118141174316,9,9,9,9,0.0010119,6.0046676e-11,6.551977e-06,0.022515532,0.059947755,0.005078952,0.0005153846,0.1827494,0.015705764,0.7124687,1.0825397e-09,7.525898e-15,8.097863e-10,7.652976e-09,7.081358e-07,3.9816834e-11,3.9871204e-11,3.8730832e-05,1.098348e-05,0.99994963
5,27.85250473022461,1.987217903137207,0.0004339494334999472,1.9867839813232422,2.062041997909546,0.736850917339325,1.3251910209655762,-138.12152099609375,-146.59654235839844,-120.83240509033203,-17.28911590576172,-25.764137268066406,3.1005044938147864e-08,6.468109349884958e-12,0.9626456499099731,0.9547723531723022,0.9741536974906921,-0.011508047580718994,-0.019381344318389893,1,1,1,1,0.0011329401,0.24370374,0.008076004,0.14631335,0.19000259,0.05744552,0.06886139,0.1319445,0.05128669,0.10123322,6.045686e-13,0.9999647,1.2465555e-05,6.767319e-09,1.7151113e-05,1.550136e-08,4.6587206e-06,8.550163e-07,7.626979e-09,4.8560087e-11
6,31.23262596130371,1.9808632135391235,0.0022850362583994865,1.9785782098770142,2.0022506713867188,0.22379788756370544,1.778452754020691,-95.11137390136719,-99.54618835449219,-94.08636474609375,-1.0250091552734375,-5.4598236083984375,0.3587931805412394,0.004254306102501741,0.9837020635604858,0.9823853373527527,0.9838576912879944,-0.00015562772750854492,-0.0014723539352416992,7,7,7,7,0.012087663,0.13943051,0.21713257,0.037269894,0.063463025,0.005519723,0.07611887,0.25705472,0.10022957,0.09169347,5.97686e-11,1.7364687e-07,6.5118996e-07,0.00023876141,1.7006771e-08,4.2443306e-13,5.5849685e-09,0.9997575,9.543368e-07,1.9546162e-06
7,18.19046974182129,0.5902253985404968,0.05868222191929817,0.5315431952476501,0.6749881505966187,0.08719409257173538,0.5877940654754639,-91.39861297607422,-94.79032135009766,-92.18157196044922,0.782958984375,-2.6087493896484375,2.187936767309523,0.0736265643536426,0.9848686456680298,0.9838237762451172,0.9845957159996033,0.00027292966842651367,-0.000771939754486084,4,4,4,4,0.006687407,1.0252513e-08,0.00055834797,0.009187843,0.8570064,0.00097196316,0.09151824,0.015179816,0.009539363,0.009350693,6.607018e-09,5.125587e-15,3.179013e-09,1.6610166e-08,0.98962003,4.9706166e-05,0.00011278443,3.97074e-07,3.60361e-08,0.010216972
8,28.87269401550293,1.9074124097824097,0.004407227039337158,1.9030051231384277,1.958149790763855,0.3343713879585266,1.6237783432006836,-89.10460662841797,-88.92935943603516,-120.4159164428711,31.311309814453125,31.486557006835938,39657841580405.94,47253933110408.7,0.9852825403213501,0.9854444861412048,0.9742398262023926,0.01104271411895752,0.011204659938812256,6,5,6,6,0.023518661,0.02642276,0.045392092,0.029243615,0.068407394,0.2517341,0.29017386,0.11636004,0.13014494,0.018602423,6.9948765e-05,1.9439332e-10,3.7807746e-05,2.6985572e-09,1.0609942e-06,5.745019e-07,0.99952984,2.221411e-08,0.00036070726,7.621915e-09
9,30.915193557739258,2.012171745300293,0.034855976700782776,1.9773157835006714,1.9884543418884277,0.5960482954978943,1.3924059867858887,-84.30982971191406,-87.1944580078125,-100.7047119140625,16.394882202148438,13.51025390625,13188848.26591757,736934.2146890778,0.9867064356803894,0.9860959649085999,0.9825581908226013,0.004148244857788086,0.003537774085998535,1,1,1,1,1.7142624e-05,0.2667106,0.15413918,0.06273073,0.06727147,0.019798206,0.07794637,0.09628476,0.09003249,0.165069,2.944176e-17,0.99438065,0.0056019,9.772961e-08,3.0651062e-10,6.55187e-11,4.887146e-06,1.2045717e-06,7.6122785e-07,1.0470623e-05
10,43.30598068237305,2.1180856227874756,0.06838762015104294,2.0496981143951416,2.1502203941345215,0.7502094507217407,1.4000109434127808,-166.8721923828125,-175.2108612060547,-191.62359619140625,24.75140380859375,16.412734985351562,56156249307.228775,13426420.265493913,0.9364574551582336,0.9253923892974854,0.8919396996498108,0.04451775550842285,0.03345268964767456,2,9,9,9,0.04744678,0.009476789,0.17972088,0.10472681,0.10170522,0.120892614,0.022284849,0.10526224,0.13793546,0.17054832,4.5170086e-08,7.5830623e-13,1.2998454e-11,3.711052e-11,0.0016405749,1.751541e-11,1.7596535e-10,0.009810935,0.000110104476,0.98843837
