image_index,latent_distance,original_log_likelihood,reconstruction_log_likelihood,counterfactual_log_likelihood,log_likelihood_difference,recon_counterfactual_log_likelihood_difference,likelihood_ratio,recon_counterfactual_likelihood_ratio,original_realism_score,reconstruction_realism_score,counterfactual_realism_score,realism_score_difference,recon_counterfactual_realism_difference,original_class_recon,target_class,counterfactual_class_recon,original_prob_class_0,original_prob_class_1,original_prob_class_2,original_prob_class_3,original_prob_class_4,original_prob_class_5,original_prob_class_6,original_prob_class_7,original_prob_class_8,original_prob_class_9,counterfactual_prob_class_0,counterfactual_prob_class_1,counterfactual_prob_class_2,counterfactual_prob_class_3,counterfactual_prob_class_4,counterfactual_prob_class_5,counterfactual_prob_class_6,counterfactual_prob_class_7,counterfactual_prob_class_8,counterfactual_prob_class_9
0,0.219586580991745,-90.39580535888672,-99.97637176513672,-100.12236022949219,9.726554870605469,0.14598846435546875,16756.72368277912,1.1571828391239123,0.9851437211036682,0.9818931818008423,0.9824838042259216,0.002659916877746582,-0.0005906224250793457,2,5,2,2.5372448e-17,1.0576538e-15,1.0,1.0718037e-16,5.4839247e-21,4.288829e-28,3.4693117e-25,8.189902e-14,2.021327e-15,3.4933406e-22,2.5397433e-17,1.0601866e-15,1.0,1.0702472e-16,5.494562e-21,4.298607e-28,3.481854e-25,8.199045e-14,2.0234795e-15,3.493474e-22
1,66.58478546142578,-56.05758285522461,-69.54713439941406,-104.46268463134766,48.40510177612305,34.915550231933594,1.0521280455890508e+21,1457574622675171.5,0.9923462867736816,0.9902094602584839,0.9793717265129089,0.012974560260772705,0.010837733745574951,1,6,6,2.2514239e-12,0.99999976,8.173959e-12,9.160595e-13,2.1608528e-09,2.2924468e-08,6.994432e-10,9.5023e-10,4.3859085e-08,2.2281044e-07,1.1727886e-08,0.020928528,3.6114978e-09,2.4192908e-09,8.661563e-06,0.00074498344,0.97780526,3.2072531e-09,0.0002888029,0.00022372321
2,71.90570068359375,-105.59728240966797,-108.20683288574219,-132.06687927246094,26.46959686279297,23.86004638671875,313040015008.5155,23029604715.084682,0.9804441928863525,0.9778884649276733,0.9652435183525085,0.015200674533843994,0.012644946575164795,2,4,2,3.3235143e-08,3.28111e-17,1.0,7.4884154e-11,8.718475e-13,8.570534e-16,2.2267232e-19,6.11075e-10,1.4926517e-12,1.0298726e-13,1.7576951e-06,2.4338254e-09,0.99364567,8.618097e-06,0.006001786,1.6777203e-09,6.987644e-14,0.0003379008,1.4907147e-07,4.1468043e-06
3,0.2819139361381531,-100.43635559082031,-103.54718780517578,-102.46620178222656,2.02984619140625,-1.0809860229492188,7.61291533692336,0.33926084169334586,0.9824149012565613,0.9805201888084412,0.9808923602104187,0.0015225410461425781,-0.00037217140197753906,4,1,4,7.238353e-21,3.5609318e-17,5.7530187e-16,1.2199761e-19,1.0,8.376475e-15,4.8954568e-20,3.8429983e-14,3.9006696e-16,6.470954e-10,7.043702e-21,3.430058e-17,5.521808e-16,1.2290005e-19,1.0,8.146368e-15,4.602208e-20,3.8504966e-14,3.806156e-16,6.397053e-10
4,85.6370620727539,-95.71131896972656,-102.31494140625,-138.15750122070312,42.44618225097656,35.842559814453125,2.7173321644221804e+18,3683205451129033.5,0.9841082692146301,0.981280505657196,0.9590989351272583,0.025009334087371826,0.022181570529937744,6,0,6,9.866054e-16,1.534007e-22,8.04137e-28,2.3908362e-22,2.8130252e-21,2.9597033e-18,1.0,3.4538434e-28,4.306597e-22,4.6512903e-28,0.00024865597,2.945344e-16,6.5196417e-16,4.2307154e-14,1.1141472e-14,1.8165818e-09,0.9997514,1.3162562e-14,3.4773267e-13,3.0064688e-19
5,0.2884306311607361,-105.37037658691406,-115.87046813964844,-114.0720443725586,8.701667785644531,-1.7984237670898438,6012.932141302546,0.16555964322053168,0.978822648525238,0.9765428900718689,0.9759244322776794,0.0028982162475585938,0.0006184577941894531,6,3,6,6.9772118e-12,6.1636354e-18,3.3177347e-25,6.6672147e-21,4.537387e-16,5.1819776e-16,1.0,1.5253577e-24,2.4781752e-18,7.7330047e-23,6.900938e-12,5.934252e-18,3.128194e-25,6.3591594e-21,4.4300474e-16,5.0347644e-16,1.0,1.4810238e-24,2.4103007e-18,7.667413e-23
6,0.33612602949142456,-93.8544692993164,-95.81912231445312,-98.89888763427734,5.0444183349609375,3.0797653198242188,155.15402527414074,21.753296729620814,0.984531819820404,0.9824452996253967,0.9823930263519287,0.002138793468475342,5.227327346801758e-05,4,5,4,1.8346321e-26,2.2766707e-18,1.5008998e-19,4.077069e-26,1.0,5.725874e-22,8.778693e-25,1.7958444e-16,8.3617403e-19,1.6653453e-15,1.855798e-26,2.3300026e-18,1.5711604e-19,4.3647393e-26,1.0,5.931864e-22,8.9300435e-25,1.8569617e-16,8.646807e-19,1.6611641e-15
7,0.24339206516742706,-84.68292999267578,-92.90238189697266,-94.17450714111328,9.4915771484375,1.272125244140625,13247.672405021889,3.5684282906839995,0.9867636561393738,0.9839699864387512,0.984112560749054,0.0026510953903198242,-0.00014257431030273438,9,1,9,1.8419597e-19,5.24862e-25,3.9506742e-22,7.063258e-15,1.1049921e-15,2.2434733e-15,1.746495e-27,6.6382027e-15,3.7553586e-17,1.0,1.8312475e-19,5.2820627e-25,3.9442896e-22,7.049503e-15,1.1183842e-15,2.2325286e-15,1.742509e-27,6.732176e-15,3.7781915e-17,1.0
8,67.1236801147461,-44.561561584472656,-55.36488723754883,-99.36983489990234,54.80827331542969,44.004947662353516,6.352295073907113e+23,1.2915343051661003e+19,0.994005560874939,0.9925782084465027,0.9817783832550049,0.012227177619934082,0.010799825191497803,1,4,4,2.307331e-12,1.0,2.398667e-13,1.2111823e-15,5.954401e-10,9.909332e-13,2.8165184e-11,1.2113194e-10,6.4333296e-11,8.084276e-13,1.0323042e-11,2.1518477e-07,1.2154442e-12,8.122749e-12,0.99989676,2.8364052e-11,1.1682657e-09,2.2776536e-09,2.7226767e-07,0.00010282588
9,63.65636444091797,-47.61552047729492,-59.56324005126953,-93.35277557373047,45.73725509643555,33.78953552246094,7.301927318555561e+19,472725275345897.3,0.9933252334594727,0.9918442368507385,0.9841760993003845,0.009149134159088135,0.007668137550354004,1,2,1,1.879988e-11,0.99999976,4.513065e-08,7.161287e-13,1.8957599e-07,1.9053721e-12,2.0793114e-14,3.8056385e-09,6.8730396e-11,2.4026146e-12,7.190959e-05,0.5868856,0.40084344,5.0723393e-06,0.001707729,2.7788996e-09,2.5319982e-09,0.010329988,0.0001501394,6.2578188e-06
