Step,Loss,Target Class Prob,Distance,Step,Loss,Target_Class_Prob,Distance
0,23.0259,0.0,0.0,0,18.2404,0.0000,0.0000
1,23.0259,0.0,1.2427,1,7.7168,0.0004,3.2000
2,23.0258,0.0,2.9733,2,18.1672,0.0000,4.9896
3,23.0258,0.0,4.891,3,12.1334,0.0000,6.6211
4,23.0255,0.0,6.7641,4,20.4003,0.0000,8.0230
5,23.0235,0.0,8.6107,5,12.6049,0.0000,9.4493
6,23.011,0.0,10.3968,6,14.3898,0.0000,10.7845
7,22.9384,0.0,12.1148,7,4.8377,0.0079,12.0866
8,22.5905,0.0,13.8366,8,10.5120,0.0000,13.3391
9,21.5424,0.0,15.6279,9,7.6681,0.0005,14.5852
10,19.7249,0.0,17.6035,10,7.4595,0.0006,15.8035
11,17.4485,0.0,19.8573,11,5.9681,0.0026,17.0001
12,14.9191,0.0,22.3594,12,3.9117,0.0200,18.2177
13,12.2199,0.0,25.059,13,3.7547,0.0234,19.3558
14,9.3971,0.0001,27.905,14,3.2689,0.0380,20.4249
15,6.4815,0.0015,30.8541,15,4.2464,0.0143,21.4224
16,3.517,0.0297,33.8737,16,3.5379,0.0291,22.4004
17,0.9333,0.3933,36.9418,17,3.0056,0.0495,23.3268
18,0.0724,0.9301,39.9809,18,3.1449,0.0431,24.2159
19,0.0047,0.9953,42.7912,19,3.3292,0.0358,25.0612
20,0.0004,0.9996,45.3588,20,2.8964,0.0552,25.9025
21,0.0,1.0,47.7016,21,2.7525,0.0638,26.7041
22,0.0,1.0,49.8388,22,1.9667,0.1399,27.4687
23,0.0,1.0,51.788,23,1.9754,0.1387,28.1908
24,0.0,1.0,53.5658,24,2.0019,0.1351,28.8766
25,0.0,1.0,55.1869,25,1.6057,0.2007,29.5315
26,0.0,1.0,56.6653,26,1.6935,0.1839,30.1650
27,0.0,1.0,58.0132,27,1.8937,0.1505,30.7684
28,0.0,1.0,59.2422,28,1.6943,0.1837,31.3489
29,0.0,1.0,60.3626,29,1.5590,0.2103,31.9071
30,0.0,1.0,61.3839,30,1.3513,0.2589,32.4453
31,0.0,1.0,62.3148,31,1.1299,0.3231,32.9558
32,0.0,1.0,63.1632,32,1.2437,0.2883,33.4445
33,0.0,1.0,63.9363,33,1.4260,0.2403,33.9106
34,0.0,1.0,64.6407,34,1.1139,0.3283,34.3639
35,0.0,1.0,65.2824,35,1.0950,0.3345,34.7909
36,0.0,1.0,65.8669,36,1.0304,0.3569,35.1967
37,0.0,1.0,66.3992,37,0.8749,0.4169,35.5859
38,0.0,1.0,66.8839,38,1.0132,0.3631,35.9577
39,0.0,1.0,67.3253,39,0.9845,0.3736,36.3137
40,0.0,1.0,67.727,40,1.0519,0.3493,36.6541
41,0.0,1.0,68.0926,41,0.7678,0.4640,36.9809
42,0.0,1.0,68.4254,42,0.7292,0.4823,37.2909
43,0.0,1.0,68.7281,43,0.9396,0.3908,37.5922
44,0.0,1.0,69.0035,44,0.6243,0.5356,37.8778
45,0.0,1.0,69.254,45,0.7230,0.4853,38.1536
46,0.0,1.0,69.4818,46,0.6707,0.5113,38.4165
47,0.0,1.0,69.689,47,0.5208,0.5940,38.6710
48,0.0,1.0,69.8774,48,0.7312,0.4813,38.9168
49,0.0,1.0,70.0486,49,0.7913,0.4532,39.1601
50,0.0,1.0,70.2042,50,0.5404,0.5825,39.3954
51,0.0,1.0,70.3456,51,0.5630,0.5695,39.6261
52,0.0,1.0,70.4741,52,0.4966,0.6086,39.8487
53,0.0,1.0,70.5908,53,0.5193,0.5950,40.0652
54,0.0,1.0,70.6968,54,0.4817,0.6177,40.2769
55,0.0,1.0,70.7931,55,0.4210,0.6564,40.4798
56,0.0,1.0,70.8806,56,0.5909,0.5538,40.6753
57,0.0,1.0,70.96,57,0.5757,0.5623,40.8717
58,0.0,1.0,71.0321,58,0.5750,0.5627,41.0663
59,0.0,1.0,71.0976,59,0.3671,0.6927,41.2568
60,0.0,1.0,71.157,60,0.4462,0.6400,41.4453
61,0.0,1.0,71.2109,61,0.3638,0.6950,41.6346
62,0.0,1.0,71.2598,62,0.4054,0.6667,41.8119
63,0.0,1.0,71.3042,63,0.5408,0.5823,41.9873
64,0.0,1.0,71.3445,64,0.4728,0.6233,42.1641
65,0.0,1.0,71.381,65,0.4272,0.6523,42.3375
66,0.0,1.0,71.4141,66,0.4177,0.6586,42.5083
67,0.0,1.0,71.4442,67,0.3271,0.7210,42.6770
68,0.0,1.0,71.4714,68,0.4174,0.6587,42.8390
69,0.0,1.0,71.4961,69,0.3977,0.6719,42.9981
70,0.0,1.0,71.5185,70,0.3499,0.7048,43.1544
71,0.0,1.0,71.5388,71,0.4130,0.6616,43.3100
72,0.0,1.0,71.5573,72,0.3040,0.7378,43.4662
73,0.0,1.0,71.574,73,0.3303,0.7187,43.6170
74,0.0,1.0,71.5891,74,0.2587,0.7720,43.7675
75,0.0,1.0,71.6028,75,0.3310,0.7182,43.9121
76,0.0,1.0,71.6152,76,0.3853,0.6803,44.0563
77,0.0,1.0,71.6265,77,0.2700,0.7633,44.1950
78,0.0,1.0,71.6367,78,0.2891,0.7489,44.3338
79,0.0,1.0,71.6459,79,0.2734,0.7608,44.4685
80,0.0,1.0,71.6543,80,0.2357,0.7901,44.5998
81,0.0,1.0,71.6618,81,0.2883,0.7495,44.7315
82,0.0,1.0,71.6687,82,0.2529,0.7766,44.8616
83,0.0,1.0,71.6749,83,0.2764,0.7585,44.9911
84,0.0,1.0,71.6806,84,0.2284,0.7958,45.1171
85,0.0,1.0,71.6857,85,0.2054,0.8143,45.2415
86,0.0,1.0,71.6903,86,0.2463,0.7817,45.3622
87,0.0,1.0,71.6945,87,0.2415,0.7854,45.4805
88,0.0,1.0,71.6983,88,0.1955,0.8225,45.5998
89,0.0,1.0,71.7017,89,0.1948,0.8230,45.7183
90,0.0,1.0,71.7048,90,0.2809,0.7551,45.8331
91,0.0,1.0,71.7076,91,0.2531,0.7764,45.9451
92,0.0,1.0,71.7101,92,0.1810,0.8345,46.0576
93,0.0,1.0,71.7124,93,0.1045,0.9007,46.1702
94,0.0,1.0,71.7145,94,0.2235,0.7997,46.2771
95,0.0,1.0,71.7164,95,0.1987,0.8198,46.3829
96,0.0,1.0,71.7181,96,0.2043,0.8152,46.4889
97,0.0,1.0,71.7197,97,0.1905,0.8266,46.5950
98,0.0,1.0,71.7211,98,0.2256,0.7981,46.6974
99,0.0,1.0,71.7223,99,0.2504,0.7785,46.8005
100,,1.0,,100,0.2055,0.8142,46.9039
101,,1.0,,101,0.2189,0.8034,47.0099
102,,1.0,,102,0.1811,0.8344,47.1164
103,,1.0,,103,0.1943,0.8234,47.2186
104,,1.0,,104,0.1703,0.8434,47.3236
105,,1.0,,105,0.1320,0.8763,47.4293
106,,1.0,,106,0.1444,0.8656,47.5316
107,,1.0,,107,0.1941,0.8236,47.6305
108,,1.0,,108,0.1368,0.8721,47.7279
109,,1.0,,109,0.1306,0.8775,47.8231
110,,1.0,,110,0.1603,0.8519,47.9156
111,,1.0,,111,0.0972,0.9074,48.0041
112,,1.0,,112,0.1291,0.8789,48.0925
113,,1.0,,113,0.1365,0.8724,48.1798
114,,1.0,,114,0.1294,0.8786,48.2680
115,,1.0,,115,0.1122,0.8939,48.3564
116,,1.0,,116,0.1432,0.8666,48.4448
117,,1.0,,117,0.1386,0.8706,48.5352
118,,1.0,,118,0.1162,0.8903,48.6225
119,,1.0,,119,0.1000,0.9048,48.7069
120,,1.0,,120,0.0772,0.9257,48.7887
121,,1.0,,121,0.1013,0.9037,48.8694
